year,month,sst
2012,1,6.022
2012,2,5.159
2012,3,5.54
2012,4,6.425
2012,5,6.608
2012,6,8.759
2012,7,10.108
2012,8,10.69
2012,9,9.93
2012,10,8.372
2012,11,7.618
2012,12,6.282
2013,1,6.393
2013,2,6.169
2013,3,5.363
2013,4,6.337
2013,5,7.236
2013,6,9.8
2013,7,11.305
2013,8,11.116
2013,9,11.862
2013,10,10.174
2013,11,7.997
2013,12,6.637
2014,1,6.776
2014,2,5.775
2014,3,5.544
2014,4,5.239
2014,5,7.247
2014,6,9.381
2014,7,11.318
2014,8,12.948
2014,9,11.109
2014,10,9.866
2014,11,8.933
2014,12,8.253
2015,1,7.351
2015,2,6.74
2015,3,7.221
2015,4,8.049
2015,5,9.034
2015,6,9.941
2015,7,11.419
2015,8,11.28
2015,9,10.767
2015,10,9.898
2015,11,9.032
2015,12,8.115
2016,1,7.601
2016,2,7.054
2016,3,6.972
2016,4,7.994
2016,5,9.748
2016,6,10.884
2016,7,12.055
2016,8,11.395
2016,9,10.7
2016,10,8.283
2016,11,9.61
2016,12,8.284
2017,1,6.931
2017,2,6.203
2017,3,5.619
2017,4,6.077
2017,5,8.286
2017,6,10.114
2017,7,11.589
2017,8,12.604
2017,9,10.81
2017,10,8.703
2017,11,7.221
2017,12,7.575
2018,1,6.427
2018,2,5.695
2018,3,5.661
2018,4,6.362
2018,5,8.51
2018,6,10.477
2018,7,10.962
2018,8,11.981
2018,9,8.878
2018,10,9.702
2018,11,9.536
2018,12,8.839
2019,1,7.44
2019,2,6.34
2019,3,6.589
2019,4,7.333
2019,5,8.803
2019,6,10.592
2019,7,12.3
2019,8,11.189
2019,9,10.567
2019,10,9.887
2019,11,8.433
2019,12,5.776
2020,1,6.009
2020,2,6.072
2020,3,5.924
2020,4,6.081
2020,5,7.906
2020,6,10.59
2020,7,12.13
2020,8,13.156
2020,9,11.152
2020,10,10.141
2020,11,8.663
2020,12,7.621
2021,1,7.271
2021,2,5.745
2021,3,5.881
2021,4,5.955
2021,5,7.365
2021,6,9.234
2021,7,12.07
2021,8,12.632
2021,9,11.819
2021,10,10.092
2021,11,7.985
2021,12,6.58
2022,1,5.424
2022,2,5.602
2022,3,5.774
2022,4,6.105
2022,5,7.79
2022,6,9.867
2022,7,11.654
2022,8,11.619
2022,9,10.125
2022,10,9.833
2022,11,7.661
2022,12,6.138
2023,1,6.065
2023,2,5.864
2023,3,5.124
2023,4,5.771
2023,5,7.937
2023,6,9.516
2023,7,11.397
2023,8,11.465
2023,9,10.514
2023,10,9.997
2023,11,8.269
2023,12,8.127
2024,1,6.679
2024,2,6.396
2024,3,6.364
2024,4,7.096
2024,5,8.27
2024,6,9.451
2024,7,10.557
2024,8,10.867
2024,9,9.746
2024,10,9.38
2024,11,8.06
2024,12,7.253
2025,1,6.034
2025,2,5.643
2025,3,5.385
2025,4,5.957
2025,5,7.19
2025,6,9.331
2025,7,10.954
2025,8,11.302
2025,9,10.481
2025,10,9.063
2025,11,7.782
2025,12,6.956
2026,1,6.034
2026,2,5.643
2026,3,5.385
2026,4,5.957
2026,5,7.19
2026,6,9.331
2026,7,10.954
2026,8,11.302
2026,9,10.481
2026,10,9.063
2026,11,7.782
2026,12,6.956
2027,1,6.034
2027,2,5.643
2027,3,5.385
2027,4,5.957
2027,5,7.19
2027,6,9.331
2027,7,10.954
2027,8,11.302
2027,9,10.481
2027,10,9.063
2027,11,7.782
2027,12,6.956
2028,1,6.22
2028,2,5.676
2028,3,5.425
2028,4,5.777
2028,5,7.204
2028,6,9.343
2028,7,11.186
2028,8,11.291
2028,9,10.624
2028,10,9.48
2028,11,8.407
2028,12,7.536
2029,1,6.693
2029,2,6.192
2029,3,6.303
2029,4,7.003
2029,5,8.112
2029,6,9.636
2029,7,11.229
2029,8,11.325
2029,9,10.536
2029,10,8.868
2029,11,8.239
2029,12,7.288
2030,1,6.034
2030,2,5.643
2030,3,5.385
2030,4,5.957
2030,5,7.19
2030,6,9.331
2030,7,10.954
2030,8,11.302
2030,9,10.481
2030,10,9.063
2030,11,7.782
2030,12,6.956
2031,1,6.034
2031,2,5.643
2031,3,5.385
2031,4,5.957
2031,5,7.19
2031,6,9.331
2031,7,10.954
2031,8,11.302
2031,9,10.481
2031,10,9.063
2031,11,7.782
2031,12,6.956
2032,1,6.034
2032,2,5.643
2032,3,5.385
2032,4,5.957
2032,5,7.19
2032,6,9.331
2032,7,10.954
2032,8,11.302
2032,9,10.481
2032,10,9.063
2032,11,7.782
2032,12,6.956
2033,1,6.312
2033,2,5.693
2033,3,5.445
2033,4,5.688
2033,5,7.211
2033,6,9.35
2033,7,11.303
2033,8,11.286
2033,9,10.695
2033,10,9.689
2033,11,8.72
2033,12,7.825
2034,1,7.022
2034,2,6.466
2034,3,6.762
2034,4,7.526
2034,5,8.573
2034,6,9.788
2034,7,11.367
2034,8,11.337
2034,9,10.563
2034,10,8.77
2034,11,8.468
2034,12,7.454
2035,1,6.034
2035,2,5.643
2035,3,5.385
2035,4,5.957
2035,5,7.19
2035,6,9.331
2035,7,10.954
2035,8,11.302
2035,9,10.481
2035,10,9.063
2035,11,7.782
2035,12,6.956
2036,1,6.034
2036,2,5.643
2036,3,5.385
2036,4,5.957
2036,5,7.19
2036,6,9.331
2036,7,10.954
2036,8,11.302
2036,9,10.481
2036,10,9.063
2036,11,7.782
2036,12,6.956
2037,1,6.034
2037,2,5.643
2037,3,5.385
2037,4,5.957
2037,5,7.19
2037,6,9.331
2037,7,10.954
2037,8,11.302
2037,9,10.481
2037,10,9.063
2037,11,7.782
2037,12,6.956
2038,1,6.405
2038,2,5.709
2038,3,5.465
2038,4,5.598
2038,5,7.218
2038,6,9.356
2038,7,11.419
2038,8,11.28
2038,9,10.767
2038,10,9.898
2038,11,9.032
2038,12,8.115
2039,1,7.351
2039,2,6.74
2039,3,7.221
2039,4,8.049
2039,5,9.034
2039,6,9.941
2039,7,11.504
2039,8,11.349
2039,9,10.59
2039,10,8.673
2039,11,8.696
2039,12,7.62
2040,1,6.034
2040,2,5.643
2040,3,5.385
2040,4,5.957
2040,5,7.19
2040,6,9.331
2040,7,10.954
2040,8,11.302
2040,9,10.481
2040,10,9.063
2040,11,7.782
2040,12,6.956
2041,1,6.034
2041,2,5.643
2041,3,5.385
2041,4,5.957
2041,5,7.19
2041,6,9.331
2041,7,10.954
2041,8,11.302
2041,9,10.481
2041,10,9.063
2041,11,7.782
2041,12,6.956
2042,1,6.034
2042,2,5.643
2042,3,5.385
2042,4,5.957
2042,5,7.19
2042,6,9.331
2042,7,10.954
2042,8,11.302
2042,9,10.481
2042,10,9.063
2042,11,7.782
2042,12,6.956
2043,1,6.498
2043,2,5.726
2043,3,5.485
2043,4,5.508
2043,5,7.226
2043,6,9.362
2043,7,11.535
2043,8,11.274
2043,9,10.839
2043,10,10.107
2043,11,9.344
2043,12,8.405
2044,1,7.68
2044,2,7.014
2044,3,7.68
2044,4,8.572
2044,5,9.495
2044,6,10.094
2044,7,11.642
2044,8,11.36
2044,9,10.618
2044,10,8.575
2044,11,8.925
2044,12,7.786
2045,1,6.034
2045,2,5.643
2045,3,5.385
2045,4,5.957
2045,5,7.19
2045,6,9.331
2045,7,10.954
2045,8,11.302
2045,9,10.481
2045,10,9.063
2045,11,7.782
2045,12,6.956
2046,1,6.034
2046,2,5.643
2046,3,5.385
2046,4,5.957
2046,5,7.19
2046,6,9.331
2046,7,10.954
2046,8,11.302
2046,9,10.481
2046,10,9.063
2046,11,7.782
2046,12,6.956
2047,1,6.034
2047,2,5.643
2047,3,5.385
2047,4,5.957
2047,5,7.19
2047,6,9.331
2047,7,10.954
2047,8,11.302
