year,month,sst
2012,1,6.304
2012,2,5.575
2012,3,5.619
2012,4,6.421
2012,5,7.191
2012,6,8.85
2012,7,11.259
2012,8,12.524
2012,9,11.947
2012,10,9.802
2012,11,8.086
2012,12,7.045
2013,1,6.948
2013,2,6.087
2013,3,5.92
2013,4,7.053
2013,5,8.045
2013,6,11.096
2013,7,12.955
2013,8,13.261
2013,9,12.559
2013,10,10.866
2013,11,9.197
2013,12,7.301
2014,1,7.13
2014,2,5.994
2014,3,5.81
2014,4,5.716
2014,5,7.527
2014,6,10.435
2014,7,12.103
2014,8,13.861
2014,9,12.993
2014,10,11.49
2014,11,9.924
2014,12,8.677
2015,1,8.018
2015,2,7.47
2015,3,7.631
2015,4,8.18
2015,5,9.836
2015,6,11.467
2015,7,12.903
2015,8,13.628
2015,9,12.15
2015,10,10.796
2015,11,9.578
2015,12,8.353
2016,1,7.296
2016,2,7.216
2016,3,7.401
2016,4,8.449
2016,5,10.635
2016,6,11.782
2016,7,13.275
2016,8,13.358
2016,9,12.652
2016,10,10.239
2016,11,9.761
2016,12,8.786
2017,1,7.281
2017,2,6.335
2017,3,6.125
2017,4,6.427
2017,5,8.364
2017,6,10.361
2017,7,12.308
2017,8,13.301
2017,9,12.464
2017,10,10.627
2017,11,7.667
2017,12,7.44
2018,1,6.47
2018,2,6.269
2018,3,6.095
2018,4,6.656
2018,5,8.929
2018,6,10.507
2018,7,12.315
2018,8,13.523
2018,9,12.485
2018,10,10.385
2018,11,9.803
2018,12,8.433
2019,1,7.531
2019,2,6.878
2019,3,6.789
2019,4,7.397
2019,5,9.053
2019,6,11.211
2019,7,13.02
2019,8,13.035
2019,9,11.955
2019,10,10.424
2019,11,9.068
2019,12,8.046
2020,1,6.527
2020,2,6.38
2020,3,6.251
2020,4,6.639
2020,5,8.44
2020,6,10.591
2020,7,12.629
2020,8,13.405
2020,9,12.69
2020,10,10.773
2020,11,8.798
2020,12,7.805
2021,1,7.283
2021,2,6.057
2021,3,5.866
2021,4,6.122
2021,5,7.864
2021,6,9.494
2021,7,12.399
2021,8,13.677
2021,9,12.417
2021,10,10.305
2021,11,8.62
2021,12,7.081
2022,1,5.769
2022,2,5.743
2022,3,6.071
2022,4,6.767
2022,5,8.506
2022,6,10.797
2022,7,12.743
2022,8,14.041
2022,9,13.745
2022,10,12.076
2022,11,8.96
2022,12,6.706
2023,1,6.094
2023,2,6.125
2023,3,5.631
2023,4,5.939
2023,5,8.525
2023,6,10.1
2023,7,12.723
2023,8,13.484
2023,9,12.128
2023,10,11.009
2023,11,9.184
2023,12,8.431
2024,1,7.426
2024,2,6.921
2024,3,6.698
2024,4,7.647
2024,5,9.003
2024,6,10.303
2024,7,12.195
2024,8,12.823
2024,9,11.929
2024,10,10.253
2024,11,8.838
2024,12,7.864
2025,1,6.291
2025,2,5.954
2025,3,5.738
2025,4,6.287
2025,5,7.739
2025,6,9.898
2025,7,11.711
2025,8,12.686
2025,9,11.659
2025,10,10.029
2025,11,8.406
2025,12,7.256
2026,1,6.291
2026,2,5.954
2026,3,5.738
2026,4,6.287
2026,5,7.739
2026,6,9.898
2026,7,11.711
2026,8,12.686
2026,9,11.659
2026,10,10.029
2026,11,8.406
2026,12,7.256
2027,1,6.291
2027,2,5.954
2027,3,5.738
2027,4,6.287
2027,5,7.739
2027,6,9.898
2027,7,11.711
2027,8,12.686
2027,9,11.659
2027,10,10.029
2027,11,8.406
2027,12,7.256
2028,1,6.501
2028,2,5.964
2028,3,5.756
2028,4,6.144
2028,5,7.686
2028,6,10.032
2028,7,12.307
2028,8,13.157
2028,9,11.904
2028,10,10.412
2028,11,8.992
2028,12,7.804
2029,1,7.155
2029,2,6.712
2029,3,6.684
2029,4,7.234
2029,5,8.787
2029,6,10.682
2029,7,12.102
2029,8,12.854
2029,9,11.907
2029,10,10.081
2029,11,8.744
2029,12,7.638
2030,1,6.291
2030,2,5.954
2030,3,5.738
2030,4,6.287
2030,5,7.739
2030,6,9.898
2030,7,11.711
2030,8,12.686
2030,9,11.659
2030,10,10.029
2030,11,8.406
2030,12,7.256
2031,1,6.291
2031,2,5.954
2031,3,5.738
2031,4,6.287
2031,5,7.739
2031,6,9.898
2031,7,11.711
2031,8,12.686
2031,9,11.659
2031,10,10.029
2031,11,8.406
2031,12,7.256
2032,1,6.291
2032,2,5.954
2032,3,5.738
2032,4,6.287
2032,5,7.739
2032,6,9.898
2032,7,11.711
2032,8,12.686
2032,9,11.659
2032,10,10.029
2032,11,8.406
2032,12,7.256
2033,1,6.606
2033,2,5.969
2033,3,5.765
2033,4,6.073
2033,5,7.659
2033,6,10.099
2033,7,12.605
2033,8,13.392
2033,9,12.027
2033,10,10.604
2033,11,9.285
2033,12,8.079
2034,1,7.586
2034,2,7.091
2034,3,7.158
2034,4,7.707
2034,5,9.312
2034,6,11.075
2034,7,12.298
2034,8,12.938
2034,9,12.031
2034,10,10.108
2034,11,8.914
2034,12,7.83
2035,1,6.291
2035,2,5.954
2035,3,5.738
2035,4,6.287
2035,5,7.739
2035,6,9.898
2035,7,11.711
2035,8,12.686
2035,9,11.659
2035,10,10.029
2035,11,8.406
2035,12,7.256
2036,1,6.291
2036,2,5.954
2036,3,5.738
2036,4,6.287
2036,5,7.739
2036,6,9.898
2036,7,11.711
2036,8,12.686
2036,9,11.659
2036,10,10.029
2036,11,8.406
2036,12,7.256
2037,1,6.291
2037,2,5.954
2037,3,5.738
2037,4,6.287
2037,5,7.739
2037,6,9.898
2037,7,11.711
2037,8,12.686
2037,9,11.659
2037,10,10.029
2037,11,8.406
2037,12,7.256
2038,1,6.711
2038,2,5.974
2038,3,5.774
2038,4,6.002
2038,5,7.633
2038,6,10.166
2038,7,12.903
2038,8,13.628
2038,9,12.15
2038,10,10.796
2038,11,9.578
2038,12,8.353
2039,1,8.018
2039,2,7.47
2039,3,7.631
2039,4,8.18
2039,5,9.836
2039,6,11.467
2039,7,12.493
2039,8,13.022
2039,9,12.155
2039,10,10.134
2039,11,9.083
2039,12,8.021
2040,1,6.291
2040,2,5.954
2040,3,5.738
2040,4,6.287
2040,5,7.739
2040,6,9.898
2040,7,11.711
