year,month,sst
2012,1,10.531
2012,2,10.224
2012,3,9.356
2012,4,10.735
2012,5,9.889
2012,6,10.587
2012,7,12.536
2012,8,10.875
2012,9,11.791
2012,10,12.499
2012,11,13.586
2012,12,12.253
2013,1,10.443
2013,2,9.27
2013,3,9.349
2013,4,9.504
2013,5,10.201
2013,6,11.163
2013,7,10.691
2013,8,12.581
2013,9,14.512
2013,10,10.863
2013,11,11.448
2013,12,10.232
2014,1,10.665
2014,2,10.949
2014,3,11.211
2014,4,10.927
2014,5,12.145
2014,6,10.79
2014,7,11.912
2014,8,12.257
2014,9,14.348
2014,10,14.56
2014,11,14.657
2014,12,14.805
2015,1,13.057
2015,2,12.62
2015,3,11.835
2015,4,10.318
2015,5,10.45
2015,6,11.931
2015,7,14.378
2015,8,15.458
2015,9,12.819
2015,10,13.766
2015,11,13.01
2015,12,12.535
2016,1,12.256
2016,2,12.097
2016,3,12.45
2016,4,12.375
2016,5,11.499
2016,6,11.431
2016,7,10.989
2016,8,11.5
2016,9,11.877
2016,10,12.976
2016,11,14.402
2016,12,12.023
2017,1,11.006
2017,2,11.575
2017,3,11.48
2017,4,11.358
2017,5,10.862
2017,6,12.616
2017,7,11.487
2017,8,12.567
2017,9,13.34
2017,10,11.126
2017,11,12.755
2017,12,11.923
2018,1,11.946
2018,2,10.324
2018,3,10.513
2018,4,11.227
2018,5,11.372
2018,6,11.54
2018,7,11.64
2018,8,12.479
2018,9,12.52
2018,10,12.733
2018,11,11.901
2018,12,12.56
2019,1,11.86
2019,2,11.645
2019,3,11.298
2019,4,11.553
2019,5,11.057
2019,6,10.784
2019,7,11.99
2019,8,14.555
2019,9,15.335
2019,10,11.716
2019,11,11.99
2019,12,12.261
2020,1,11.214
2020,2,9.987
2020,3,10.29
2020,4,11.294
2020,5,12.774
2020,6,11.963
2020,7,11.47
2020,8,12.097
2020,9,14.344
2020,10,13.153
2020,11,11.626
2020,12,10.925
2021,1,11.173
2021,2,10.286
2021,3,9.715
2021,4,10.033
2021,5,10.027
2021,6,12.515
2021,7,11.212
2021,8,11.66
2021,9,11.92
2021,10,12.331
2021,11,13.237
2021,12,11.41
2022,1,11.055
