year,month,sst
2012,1,6.516
2012,2,6.683
2012,3,7.142
2012,4,9.594
2012,5,12.275
2012,6,14.519
2012,7,17.875
2012,8,18.28
2012,9,14.981
2012,10,11.215
2012,11,8.801
2012,12,7.541
2013,1,6.356
2013,2,6.994
2013,3,7.999
2013,4,10.214
2013,5,12.946
2013,6,15.895
2013,7,18.884
2013,8,18.407
2013,9,16.489
2013,10,11.52
2013,11,9.374
2013,12,7.464
2014,1,6.935
2014,2,6.49
2014,3,7.59
2014,4,9.804
2014,5,14.079
2014,6,16.331
2014,7,18.202
2014,8,19.317
2014,9,16.412
2014,10,12.87
2014,11,9.176
2014,12,7.804
2015,1,7.175
2015,2,8.365
2015,3,9.081
2015,4,11.031
2015,5,15.27
2015,6,17.088
2015,7,17.755
2015,8,17.392
2015,9,14.618
2015,10,12.834
2015,11,9.654
2015,12,8.367
2016,1,7.015
2016,2,7.844
2016,3,8.834
2016,4,11.948
2016,5,14.392
2016,6,16.913
2016,7,18.485
2016,8,17.195
2016,9,15.268
2016,10,11.749
2016,11,10.082
2016,12,7.04
2017,1,6.582
2017,2,6.326
2017,3,7.519
2017,4,9.69
2017,5,13.064
2017,6,15.876
2017,7,18.315
2017,8,18.113
2017,9,16.515
2017,10,11.946
2017,11,9.115
2017,12,7.029
2018,1,7.146
2018,2,6.891
2018,3,7.942
2018,4,9.932
2018,5,14.775
2018,6,16.092
2018,7,18.215
2018,8,18.894
2018,9,14.979
2018,10,11.999
2018,11,9.586
2018,12,8.135
2019,1,7.328
2019,2,6.345
2019,3,7.901
2019,4,10.143
2019,5,13.845
2019,6,16.799
2019,7,18.769
2019,8,18.979
2019,9,16.137
2019,10,11.471
2019,11,9.607
2019,12,8.029
2020,1,7.282
2020,2,6.806
2020,3,7.771
2020,4,10.391
2020,5,14.108
2020,6,15.596
2020,7,17.808
2020,8,18.023
2020,9,16.331
2020,10,12.837
2020,11,9.038
2020,12,7.857
2021,1,7.365
2021,2,6.642
2021,3,7.682
2021,4,10.155
2021,5,13.611
2021,6,17.462
2021,7,20.359
2021,8,19.562
2021,9,15.52
2021,10,11.457
2021,11,8.648
2021,12,7.196
2022,1,6.149
2022,2,6.719
2022,3,7.992
2022,4,9.333
2022,5,11.955
2022,6,14.919
2022,7,18.284
2022,8,19.751
2022,9,16.354
2022,10,13.076
2022,11,8.504
2022,12,7.29
2023,1,6.775
2023,2,6.933
2023,3,7.421
2023,4,9.095
2023,5,14.818
2023,6,16.036
2023,7,18.332
2023,8,17.758
2023,9,15.186
2023,10,11.745
2023,11,9.231
2023,12,8.248
2024,1,7.299
2024,2,7.323
2024,3,8.394
2024,4,10.095
2024,5,12.839
2024,6,15.328
2024,7,18.346
2024,8,18.778
2024,9,15.732
2024,10,11.618
2024,11,9.189
2024,12,7.897
2025,1,6.803
2025,2,6.923
2025,3,7.666
2025,4,9.55
2025,5,12.678
2025,6,15.356
2025,7,17.466
2025,8,17.541
2025,9,14.859
2025,10,11.508
2025,11,8.9
2025,12,7.28
2026,1,6.803
2026,2,6.923
2026,3,7.666
2026,4,9.55
2026,5,12.678
2026,6,15.356
2026,7,17.466
2026,8,17.541
2026,9,14.859
2026,10,11.508
2026,11,8.9
2026,12,7.28
2027,1,6.803
2027,2,6.923
2027,3,7.666
2027,4,9.55
2027,5,12.678
2027,6,15.356
2027,7,17.466
2027,8,17.541
2027,9,14.859
2027,10,11.508
2027,11,8.9
2027,12,7.28
2028,1,6.836
2028,2,6.814
2028,3,7.647
2028,4,9.613
2028,5,13.028
2028,6,15.6
2028,7,17.611
2028,8,17.466
2028,9,14.739
2028,10,12.171
2028,11,9.277
2028,12,7.824
2029,1,6.989
2029,2,7.644
2029,3,8.374
2029,4,10.29
2029,5,13.974
2029,6,16.222
2029,7,17.721
2029,8,17.454
2029,9,14.962
2029,10,11.568
2029,11,9.196
2029,12,7.22
2030,1,6.803
2030,2,6.923
2030,3,7.666
2030,4,9.55
2030,5,12.678
2030,6,15.356
2030,7,17.466
2030,8,17.541
2030,9,14.859
2030,10,11.508
2030,11,8.9
2030,12,7.28
2031,1,6.803
2031,2,6.923
2031,3,7.666
2031,4,9.55
2031,5,12.678
2031,6,15.356
2031,7,17.466
2031,8,17.541
2031,9,14.859
2031,10,11.508
2031,11,8.9
2031,12,7.28
2032,1,6.803
2032,2,6.923
2032,3,7.666
2032,4,9.55
2032,5,12.678
2032,6,15.356
2032,7,17.466
2032,8,17.541
2032,9,14.859
2032,10,11.508
2032,11,8.9
2032,12,7.28
2033,1,6.852
2033,2,6.76
2033,3,7.638
2033,4,9.645
2033,5,13.203
2033,6,15.722
2033,7,17.683
2033,8,17.429
2033,9,14.678
2033,10,12.502
2033,11,9.466
2033,12,8.095
2034,1,7.082
2034,2,8.004
2034,3,8.727
2034,4,10.661
2034,5,14.622
2034,6,16.655
2034,7,17.848
2034,8,17.411
2034,9,15.013
2034,10,11.598
2034,11,9.343
2034,12,7.19
2035,1,6.803
2035,2,6.923
2035,3,7.666
2035,4,9.55
2035,5,12.678
2035,6,15.356
2035,7,17.466
2035,8,17.541
2035,9,14.859
2035,10,11.508
2035,11,8.9
2035,12,7.28
2036,1,6.803
2036,2,6.923
2036,3,7.666
2036,4,9.55
2036,5,12.678
2036,6,15.356
2036,7,17.466
2036,8,17.541
2036,9,14.859
2036,10,11.508
2036,11,8.9
2036,12,7.28
2037,1,6.803
2037,2,6.923
2037,3,7.666
2037,4,9.55
2037,5,12.678
2037,6,15.356
2037,7,17.466
2037,8,17.541
2037,9,14.859
2037,10,11.508
2037,11,8.9
2037,12,7.28
2038,1,6.869
2038,2,6.706
2038,3,7.628
2038,4,9.677
2038,5,13.378
2038,6,15.844
2038,7,17.755
2038,8,17.392
2038,9,14.618
2038,10,12.834
2038,11,9.654
2038,12,8.367
2039,1,7.175
2039,2,8.365
2039,3,9.081
2039,4,11.031
2039,5,15.27
2039,6,17.088
2039,7,17.976
2039,8,17.368
2039,9,15.064
2039,10,11.628
2039,11,9.491
2039,12,7.16
