year,month,sst
2012,1,6.825
2012,2,5.955
2012,3,5.818
2012,4,7.112
2012,5,8.383
2012,6,10.538
2012,7,13.406
2012,8,13.686
2012,9,11.373
2012,10,9.423
2012,11,7.869
2012,12,7.332
2013,1,7.168
2013,2,6.986
2013,3,6.323
2013,4,7.429
2013,5,9.44
2013,6,12.383
2013,7,14.704
2013,8,13.43
2013,9,13.44
2013,10,10.766
2013,11,8.932
2013,12,7.196
2014,1,7.014
2014,2,5.775
2014,3,5.84
2014,4,6.312
2014,5,9.571
2014,6,12.742
2014,7,13.573
2014,8,15.018
2014,9,13.293
2014,10,10.856
2014,11,9.608
2014,12,8.892
2015,1,8.532
2015,2,7.61
2015,3,7.922
2015,4,8.836
2015,5,11.545
2015,6,13.512
2015,7,14.935
2015,8,13.766
2015,9,12.09
2015,10,10.575
2015,11,9.365
2015,12,8.425
2016,1,7.404
2016,2,7.696
2016,3,7.725
2016,4,8.913
2016,5,11.594
2016,6,12.991
2016,7,14.008
2016,8,14.698
2016,9,12.137
2016,10,9.976
2016,11,9.635
2016,12,8.509
2017,1,7.099
2017,2,6.34
2017,3,6.224
2017,4,7.394
2017,5,10.301
2017,6,11.968
2017,7,13.558
2017,8,14.354
2017,9,13.079
2017,10,10.388
2017,11,8.011
2017,12,7.416
2018,1,6.464
2018,2,6.022
2018,3,6.495
2018,4,7.404
2018,5,10.212
2018,6,12.284
2018,7,15.008
2018,8,14.427
2018,9,11.558
2018,10,9.909
2018,11,9.277
2018,12,8.143
2019,1,7.536
2019,2,6.632
2019,3,6.737
2019,4,7.764
2019,5,10.726
2019,6,13.031
2019,7,15.228
2019,8,14.152
2019,9,13.05
2019,10,10.368
2019,11,8.727
2019,12,7.801
2020,1,7.366
2020,2,6.506
2020,3,6.169
2020,4,7.27
2020,5,9.697
2020,6,11.451
2020,7,12.833
2020,8,13.576
2020,9,13.795
2020,10,10.543
2020,11,8.726
2020,12,7.802
2021,1,7.355
2021,2,6.071
2021,3,6.65
2021,4,6.794
2021,5,8.695
2021,6,11.263
2021,7,14.461
2021,8,13.853
2021,9,12.126
2021,10,10.179
2021,11,8.44
2021,12,6.73
2022,1,5.696
2022,2,5.584
2022,3,5.958
2022,4,6.89
2022,5,9.448
2022,6,13.018
2022,7,15.037
2022,8,15.651
2022,9,13.235
2022,10,11.385
2022,11,8.285
2022,12,6.227
2023,1,5.947
2023,2,5.797
2023,3,5.447
2023,4,6.547
2023,5,10.616
2023,6,13.019
2023,7,15.18
2023,8,15.079
2023,9,12.537
2023,10,10.469
2023,11,8.54
2023,12,7.816
2024,1,7.154
2024,2,6.833
2024,3,6.821
2024,4,8.125
2024,5,10.046
2024,6,11.874
2024,7,14.699
2024,8,15.091
2024,9,12.759
2024,10,9.685
2024,11,8.304
2024,12,7.161
2025,1,6.259
2025,2,5.957
2025,3,5.914
2025,4,6.93
2025,5,9.023
2025,6,11.68
2025,7,13.358
2025,8,13.83
2025,9,11.797
2025,10,9.683
2025,11,8.074
2025,12,7.079
2026,1,6.259
2026,2,5.957
2026,3,5.914
2026,4,6.93
2026,5,9.023
2026,6,11.68
2026,7,13.358
2026,8,13.83
2026,9,11.797
2026,10,9.683
2026,11,8.074
2026,12,7.079
2027,1,6.259
2027,2,5.957
2027,3,5.914
2027,4,6.93
2027,5,9.023
2027,6,11.68
2027,7,13.358
2027,8,13.83
2027,9,11.797
2027,10,9.683
2027,11,8.074
2027,12,7.079
2028,1,6.259
2028,2,5.957
2028,3,5.914
2028,4,6.93
2028,5,9.023
2028,6,11.68
2028,7,13.358
2028,8,13.83
2028,9,11.797
2028,10,9.683
2028,11,8.074
2028,12,7.079
2029,1,6.259
2029,2,5.957
2029,3,5.914
2029,4,6.93
2029,5,9.023
2029,6,11.68
2029,7,13.358
2029,8,13.83
2029,9,11.797
2029,10,9.683
2029,11,8.074
2029,12,7.079
2030,1,6.825
2030,2,5.82
2030,3,5.859
2030,4,6.467
2030,5,9.434
2030,6,12.476
2030,7,15.724
2030,8,13.734
2030,9,12.237
2030,10,11.021
2030,11,10.01
2030,12,9.098
2031,1,9.669
2031,2,8.436
2031,3,8.926
2031,4,9.789
2031,5,12.806
2031,6,14.428
2031,7,13.845
2031,8,14.481
2031,9,12.052
2031,10,9.903
2031,11,9.245
2031,12,8.151
2032,1,6.259
2032,2,5.957
2032,3,5.914
2032,4,6.93
2032,5,9.023
2032,6,11.68
2032,7,13.358
2032,8,13.83
2032,9,11.797
2032,10,9.683
2032,11,8.074
2032,12,7.079
2033,1,6.259
2033,2,5.957
2033,3,5.914
2033,4,6.93
2033,5,9.023
2033,6,11.68
2033,7,13.358
2033,8,13.83
2033,9,11.797
2033,10,9.683
