year,month,sst
2012,1,4.635
2012,2,4.604
2012,3,4.233
2012,4,6.121
2012,5,6.838
2012,6,9.674
2012,7,10.778
2012,8,12.749
2012,9,11.375
2012,10,9.351
2012,11,7.265
2012,12,5.893
2013,1,5.801
2013,2,5.578
2013,3,4.634
2013,4,5.091
2013,5,7.44
2013,6,10.49
2013,7,12.409
2013,8,13.319
2013,9,12.201
2013,10,10.733
2013,11,8.688
2013,12,6.43
2014,1,5.856
2014,2,4.188
2014,3,4.709
2014,4,5.396
2014,5,8.621
2014,6,11.345
2014,7,12.636
2014,8,12.881
2014,9,13.006
2014,10,10.295
2014,11,8.709
2014,12,7.904
2015,1,7.134
2015,2,5.703
2015,3,5.516
2015,4,6.506
2015,5,9.217
2015,6,11.5
2015,7,13.713
2015,8,13.84
2015,9,11.781
2015,10,10.155
2015,11,8.605
2015,12,7.382
2016,1,6.971
2016,2,5.622
2016,3,5.901
2016,4,7.01
2016,5,10.164
2016,6,12.63
2016,7,13.347
2016,8,13.812
2016,9,11.071
2016,10,9.911
2016,11,8.715
2016,12,7.463
2017,1,6.725
2017,2,5.684
2017,3,4.48
2017,4,6.005
2017,5,8.545
2017,6,10.859
2017,7,12.969
2017,8,14.707
2017,9,12.584
2017,10,9.962
2017,11,7.563
2017,12,6.342
2018,1,5.715
2018,2,4.549
2018,3,4.324
2018,4,5.603
2018,5,8.373
2018,6,10.981
2018,7,13.766
2018,8,12.709
2018,9,11.465
2018,10,10.253
2018,11,8.362
2018,12,8.255
2019,1,7.025
2019,2,5.793
2019,3,5.731
2019,4,6.602
2019,5,9.285
2019,6,12.487
2019,7,14.398
2019,8,13.569
2019,9,12.122
2019,10,9.922
2019,11,8.599
2019,12,7.941
2020,1,5.849
2020,2,4.957
2020,3,4.393
2020,4,5.089
2020,5,8.963
2020,6,12.426
2020,7,13.732
2020,8,13.696
2020,9,12.24
2020,10,10.486
2020,11,8.574
2020,12,7.097
2021,1,6.596
2021,2,5.331
2021,3,4.684
2021,4,6.073
2021,5,8.366
2021,6,10.743
2021,7,12.937
2021,8,14.061
2021,9,12.682
2021,10,10.5
2021,11,7.695
2021,12,5.946
2022,1,4.713
2022,2,3.924
2022,3,4.048
2022,4,5.207
2022,5,8.687
2022,6,12.5
2022,7,13.283
2022,8,13.12
2022,9,11.401
2022,10,9.599
2022,11,8.088
2022,12,6.827
2023,1,5.148
2023,2,4.037
2023,3,4.092
2023,4,5.096
2023,5,8.606
2023,6,10.861
2023,7,12.469
2023,8,12.526
2023,9,11.048
2023,10,9.36
2023,11,7.484
2023,12,6.638
2024,1,5.76
2024,2,4.634
2024,3,4.511
2024,4,5.78
2024,5,8.532
2024,6,10.888
2024,7,12.537
2024,8,12.362
2024,9,11.116
2024,10,9.271
2024,11,7.696
2024,12,6.663
2025,1,5.116
2025,2,4.367
2025,3,3.894
