year,month,sst
2012,1,2.993
2012,2,2.094
2012,3,2.031
2012,4,3.206
2012,5,5.072
2012,6,8.031
2012,7,9.365
2012,8,10.272
2012,9,9.827
2012,10,7.936
2012,11,5.618
2012,12,4.01
2013,1,4.015
2013,2,3.54
2013,3,3.218
2013,4,3.628
2013,5,4.784
2013,6,8.152
2013,7,10.212
2013,8,11.2
2013,9,10.127
2013,10,8.125
2013,11,6.439
2013,12,4.829
2014,1,4.269
2014,2,3.531
2014,3,3.585
2014,4,4.101
2014,5,7.068
2014,6,9.191
2014,7,11.942
2014,8,13.495
2014,9,12.254
2014,10,9.353
2014,11,7.447
2014,12,6.281
2015,1,5.513
2015,2,5.328
2015,3,5.055
2015,4,5.296
2015,5,6.909
2015,6,9.718
2015,7,11.443
2015,8,12.402
2015,9,11.137
2015,10,9.509
2015,11,7.344
2015,12,5.525
2016,1,4.857
2016,2,5.016
2016,3,5.269
2016,4,6.107
2016,5,8.117
2016,6,10.074
2016,7,12.462
2016,8,13.347
2016,9,12.79
2016,10,10.46
2016,11,8.027
2016,12,6.065
2017,1,4.949
2017,2,3.8
2017,3,3.156
2017,4,4.033
2017,5,6.226
2017,6,9.045
2017,7,11.206
2017,8,12.107
2017,9,10.756
2017,10,8.803
2017,11,6.843
2017,12,5.242
2018,1,4.785
2018,2,4.259
2018,3,3.865
2018,4,4.354
2018,5,6.212
2018,6,8.522
2018,7,10.298
2018,8,11.377
2018,9,11.408
2018,10,10.409
2018,11,7.966
2018,12,5.602
2019,1,4.847
2019,2,4.848
2019,3,4.953
2019,4,5.41
2019,5,7.024
2019,6,9.55
2019,7,12.682
2019,8,13.376
2019,9,12.533
2019,10,9.951
2019,11,8.005
2019,12,5.993
2020,1,3.897
2020,2,3.412
2020,3,2.926
2020,4,4.369
2020,5,6.731
2020,6,9.551
2020,7,11.79
2020,8,12.521
2020,9,11.383
2020,10,9.792
2020,11,7.106
2020,12,5.45
2021,1,5.135
2021,2,4.831
2021,3,4.217
2021,4,4.145
2021,5,6.289
2021,6,8.23
2021,7,10.695
2021,8,11.616
2021,9,10.494
2021,10,8.182
2021,11,5.262
2021,12,3.119
2022,1,2.561
2022,2,2.774
2022,3,3.637
2022,4,4.101
2022,5,6.328
2022,6,9.42
2022,7,11.23
2022,8,11.532
2022,9,11.016
2022,10,8.979
2022,11,5.886
2022,12,4.694
2023,1,4.054
2023,2,3.781
2023,3,3.172
2023,4,3.511
2023,5,5.292
2023,6,7.896
2023,7,9.576
2023,8,11.275
2023,9,10.662
2023,10,8.735
2023,11,6.891
2023,12,4.875
2024,1,3.896
2024,2,3.532
2024,3,3.244
2024,4,3.545
2024,5,5.797
2024,6,8.334
2024,7,10.579
2024,8,11.083
2024,9,10.871
2024,10,9.042
2024,11,6.294
2024,12,4.88
2025,1,3.88
2025,2,3.376
2025,3,3.24
2025,4,3.657
2025,5,5.609
2025,6,8.194
2025,7,10.479
2025,8,11.242
2025,9,10.677
2025,10,8.819
2025,11,6.277
2025,12,4.648
2026,1,3.88
2026,2,3.376
2026,3,3.24
2026,4,3.657
2026,5,5.609
2026,6,8.194
2026,7,10.479
2026,8,11.242
2026,9,10.677
2026,10,8.819
2026,11,6.277
2026,12,4.648
2027,1,3.88
2027,2,3.376
2027,3,3.24
2027,4,3.657
2027,5,5.609
2027,6,8.194
2027,7,10.479
2027,8,11.242
2027,9,10.677
2027,10,8.819
2027,11,6.277
2027,12,4.648
2028,1,3.88
2028,2,3.376
2028,3,3.24
2028,4,3.657
2028,5,5.609
2028,6,8.194
2028,7,10.479
2028,8,11.242
2028,9,10.677
2028,10,8.819
2028,11,6.277
2028,12,4.648
2029,1,3.88
2029,2,3.376
2029,3,3.24
2029,4,3.657
2029,5,5.609
2029,6,8.194
2029,7,10.479
2029,8,11.242
2029,9,10.677
2029,10,8.819
2029,11,6.277
2029,12,4.648
2030,1,4.172
2030,2,3.492
2030,3,3.499
2030,4,3.99
2030,5,6.703
2030,6,8.942
2030,7,11.925
2030,8,12.982
2030,9,11.367
2030,10,9.854
2030,11,7.877
2030,12,5.964
2031,1,6.329
2031,2,6.304
2031,3,5.963
2031,4,6.116
2031,5,7.559
2031,6,10.48
2031,7,11.966
2031,8,12.821
2031,9,12.262
2031,10,10.05
2031,11,7.59
2031,12,5.711
2032,1,3.88
2032,2,3.376
2032,3,3.24
2032,4,3.657
2032,5,5.609
2032,6,8.194
2032,7,10.479
2032,8,11.242
2032,9,10.677
2032,10,8.819
2032,11,6.277
2032,12,4.648
2033,1,3.88
2033,2,3.376
2033,3,3.24
2033,4,3.657
2033,5,5.609
2033,6,8.194
2033,7,10.479
2033,8,11.242
2033,9,10.677
2033,10,8.819
2033,11,6.277
2033,12,4.648
2034,1,3.88
2034,2,3.376
2034,3,3.24
2034,4,3.657
2034,5,5.609
2034,6,8.194
2034,7,10.479
2034,8,11.242
2034,9,10.677
2034,10,8.819
2034,11,6.277
2034,12,4.648
2035,1,3.88
2035,2,3.376
2035,3,3.24
2035,4,3.657
2035,5,5.609
2035,6,8.194
2035,7,10.479
2035,8,11.242
2035,9,10.677
2035,10,8.819
2035,11,6.277
2035,12,4.648
2036,1,3.88
2036,2,3.376
2036,3,3.24
2036,4,3.657
2036,5,5.609
2036,6,8.194
2036,7,10.479
2036,8,11.242
2036,9,10.677
2036,10,8.819
2036,11,6.277
2036,12,4.648
2037,1,3.88
2037,2,3.376
2037,3,3.24
2037,4,3.657
2037,5,5.609
2037,6,8.194
2037,7,10.479
2037,8,11.242
2037,9,10.677
2037,10,8.819
2037,11,6.277
2037,12,4.648
2038,1,3.88
2038,2,3.376
2038,3,3.24
2038,4,3.657
2038,5,5.609
2038,6,8.194
2038,7,10.479
2038,8,11.242
2038,9,10.677
2038,10,8.819
2038,11,6.277
2038,12,4.648
2039,1,3.88
2039,2,3.376
2039,3,3.24
2039,4,3.657
2039,5,5.609
2039,6,8.194
2039,7,10.479
2039,8,11.242
2039,9,10.677
2039,10,8.819
2039,11,6.277
2039,12,4.648
2040,1,3.88
2040,2,3.376
2040,3,3.24
2040,4,3.657
2040,5,5.609
2040,6,8.194
2040,7,10.479
2040,8,11.242
2040,9,10.677
2040,10,8.819
2040,11,6.277
2040,12,4.648
2041,1,3.88
2041,2,3.376
2041,3,3.24
2041,4,3.657
2041,5,5.609
2041,6,8.194
2041,7,10.479
2041,8,11.242
2041,9,10.677
2041,10,8.819
2041,11,6.277
2041,12,4.648
2042,1,3.88
2042,2,3.376
2042,3,3.24
2042,4,3.657
2042,5,5.609
2042,6,8.194
2042,7,10.479
2042,8,11.242
2042,9,10.677
2042,10,8.819
2042,11,6.277
2042,12,4.648
2043,1,3.88
2043,2,3.376
2043,3,3.24
2043,4,3.657
2043,5,5.609
2043,6,8.194
2043,7,10.479
2043,8,11.242
2043,9,10.677
2043,10,8.819
2043,11,6.277
2043,12,4.648
2044,1,3.88
2044,2,3.376
2044,3,3.24
2044,4,3.657
2044,5,5.609
2044,6,8.194
2044,7,10.479
2044,8,11.242
2044,9,10.677
2044,10,8.819
2044,11,6.277
2044,12,4.648
2045,1,3.88
2045,2,3.376
2045,3,3.24
2045,4,3.657
2045,5,5.609
2045,6,8.194
2045,7,10.479
2045,8,11.242
2045,9,10.677
2045,10,8.819
2045,11,6.277
2045,12,4.648
2046,1,3.88
2046,2,3.376
2046,3,3.24
2046,4,3.657
2046,5,5.609
2046,6,8.194
2046,7,10.479
2046,8,11.242
2046,9,10.677
2046,10,8.819
2046,11,6.277
2046,12,4.648
2047,1,3.88
2047,2,3.376
2047,3,3.24
2047,4,3.657
2047,5,5.609
2047,6,8.194
2047,7,10.479
2047,8,11.242
2047,9,10.677
2047,10,8.819
2047,11,6.277
2047,12,4.648
2048,1,3.88
2048,2,3.376
2048,3,3.24
2048,4,3.657
2048,5,5.609
2048,6,8.194
2048,7,10.479
