year,month,sst
2012,1,7.597
2012,2,7.6
2012,3,7.458
2012,4,9.132
2012,5,9.886
2012,6,11.825
2012,7,13.093
2012,8,13.756
2012,9,12.811
2012,10,11.043
2012,11,11.064
2012,12,10.285
2013,1,8.736
2013,2,8.235
2013,3,8.263
2013,4,9.132
2013,5,11.196
2013,6,13.202
2013,7,12.916
2013,8,13.605
2013,9,14.98
2013,10,12.501
2013,11,9.456
2013,12,7.919
2014,1,7.892
2014,2,7.272
2014,3,8.44
2014,4,9.826
2014,5,12.915
2014,6,12.097
2014,7,13.183
2014,8,13.813
2014,9,14.992
2014,10,13.77
2014,11,12.308
2014,12,11.245
2015,1,10.614
2015,2,10.388
2015,3,10.45
2015,4,10.947
2015,5,11.678
2015,6,12.13
2015,7,13.933
2015,8,13.639
2015,9,14.13
2015,10,14.047
2015,11,12.142
2015,12,10.738
2016,1,9.722
2016,2,10.103
2016,3,10.189
2016,4,11.175
2016,5,12.355
2016,6,13.778
2016,7,14.22
2016,8,12.77
2016,9,13.099
2016,10,12.15
2016,11,12.548
2016,12,10.981
2017,1,9.687
2017,2,9.702
2017,3,8.571
2017,4,9.712
2017,5,11.407
2017,6,12.892
2017,7,13.613
2017,8,13.885
2017,9,14.575
2017,10,12.559
2017,11,10.321
2017,12,9.731
2018,1,9.146
2018,2,8.862
2018,3,8.779
2018,4,9.929
2018,5,12.444
2018,6,13.055
2018,7,13.427
2018,8,13.68
2018,9,13.502
2018,10,12.091
2018,11,10.81
2018,12,10.197
2019,1,9.5
2019,2,8.776
2019,3,9.171
2019,4,10.342
2019,5,11.383
2019,6,12.048
2019,7,15.501
2019,8,15.989
2019,9,15.542
2019,10,11.988
2019,11,10.585
2019,12,9.497
2020,1,9.014
2020,2,8.821
2020,3,8.44
2020,4,9.347
2020,5,11.711
2020,6,12.403
2020,7,12.753
2020,8,13.784
2020,9,14.755
2020,10,13.195
2020,11,9.828
2020,12,9.275
2021,1,9.034
2021,2,8.324
2021,3,8.367
2021,4,8.93
2021,5,10.083
2021,6,12.309
2021,7,13.445
2021,8,13.861
2021,9,13.228
2021,10,11.657
2021,11,10.46
2021,12,9.335
2022,1,8.435
2022,2,8.262
2022,3,8.575
2022,4,8.76
2022,5,9.964
2022,6,11.678
2022,7,13.889
2022,8,14.173
2022,9,13.746
2022,10,12.144
2022,11,9.687
2022,12,8.459
2023,1,8.94
2023,2,8.707
2023,3,8.088
2023,4,8.645
2023,5,11.495
2023,6,10.579
2023,7,13.021
2023,8,13.756
2023,9,12.858
2023,10,12.625
2023,11,11.55
2023,12,10.437
2024,1,9.775
2024,2,9.838
2024,3,9.619
2024,4,10.269
2024,5,10.813
2024,6,11.689
2024,7,12.251
2024,8,14.222
2024,9,12.86
2024,10,11.523
2024,11,10.521
2024,12,9.935
2025,1,8.556
2025,2,8.326
2025,3,8.384
2025,4,9.135
2025,5,10.649
2025,6,12.141
2025,7,13.073
2025,8,13.393
2025,9,12.757
2025,10,11.334
2025,11,10.294
2025,12,9.285
2026,1,8.556
2026,2,8.326
2026,3,8.384
2026,4,9.135
2026,5,10.649
2026,6,12.141
2026,7,13.073
2026,8,13.393
2026,9,12.757
2026,10,11.334
2026,11,10.294
2026,12,9.285
2027,1,8.556
2027,2,8.326
2027,3,8.384
2027,4,9.135
2027,5,10.649
2027,6,12.141
2027,7,13.073
2027,8,13.393
2027,9,12.757
2027,10,11.334
2027,11,10.294
2027,12,9.285
2028,1,8.556
2028,2,8.326
2028,3,8.384
2028,4,9.135
2028,5,10.649
2028,6,12.141
2028,7,13.073
2028,8,13.393
2028,9,12.757
2028,10,11.334
2028,11,10.294
2028,12,9.285
2029,1,8.556
2029,2,8.326
2029,3,8.384
2029,4,9.135
2029,5,10.649
2029,6,12.141
2029,7,13.073
2029,8,13.393
2029,9,12.757
2029,10,11.334
2029,11,10.294
2029,12,9.285
2030,1,8.058
2030,2,7.535
2030,3,8.426
2030,4,9.653
2030,5,12.349
2030,6,12.108
2030,7,14.363
2030,8,13.762
2030,9,14.816
2030,10,15.404
2030,11,13.066
2030,12,11.465
2031,1,11.643
2031,2,11.419
2031,3,11.483
2031,4,11.853
2031,5,12.192
2031,6,12.125
2031,7,13.933
2031,8,12.926
2031,9,13.014
2031,10,11.946
2031,11,11.984
2031,12,10.557
