year,month,sst
2012,1,7.087
2012,2,6.296
2012,3,6.229
2012,4,7.144
2012,5,8.216
2012,6,10.178
2012,7,12.453
2012,8,13.006
2012,9,11.238
2012,10,9.527
2012,11,8.283
2012,12,7.66
2013,1,7.795
2013,2,7.226
2013,3,6.711
2013,4,7.603
2013,5,9.605
2013,6,11.89
2013,7,14.318
2013,8,12.709
2013,9,12.985
2013,10,10.979
2013,11,9.572
2013,12,7.672
2014,1,7.23
2014,2,6.099
2014,3,5.988
2014,4,6.582
2014,5,9.608
2014,6,12.082
2014,7,12.639
2014,8,14.034
2014,9,12.579
2014,10,11.217
2014,11,9.937
2014,12,9.371
2015,1,8.719
2015,2,8.15
2015,3,8.363
2015,4,9.105
2015,5,10.863
2015,6,12.305
2015,7,14.009
2015,8,12.919
2015,9,11.752
2015,10,10.808
2015,11,9.803
2015,12,8.744
2016,1,7.822
2016,2,8.164
2016,3,8.048
2016,4,9.086
2016,5,11.251
2016,6,12.232
2016,7,14.094
2016,8,13.914
2016,9,12.379
2016,10,10.236
2016,11,10.14
2016,12,8.874
2017,1,7.434
2017,2,6.736
2017,3,6.521
2017,4,7.449
2017,5,9.914
2017,6,11.735
2017,7,12.999
2017,8,13.502
2017,9,12.871
2017,10,10.264
2017,11,8.383
2017,12,7.519
2018,1,6.93
2018,2,6.675
2018,3,6.881
2018,4,7.792
2018,5,10.194
2018,6,11.269
2018,7,13.474
2018,8,13.254
2018,9,11.33
2018,10,9.673
2018,11,9.251
2018,12,8.522
2019,1,8.096
2019,2,6.87
2019,3,6.888
2019,4,7.69
2019,5,9.815
2019,6,11.741
2019,7,14.6
2019,8,13.605
2019,9,12.586
2019,10,10.61
2019,11,8.949
2019,12,8.249
2020,1,7.614
2020,2,6.773
2020,3,6.537
2020,4,7.371
2020,5,8.945
2020,6,11.115
2020,7,12.451
2020,8,13.388
2020,9,13.291
2020,10,10.777
2020,11,9.023
2020,12,7.92
2021,1,7.551
2021,2,6.558
2021,3,6.62
2021,4,6.844
2021,5,8.48
2021,6,11.037
2021,7,13.584
2021,8,13.55
2021,9,11.76
2021,10,10.217
2021,11,9.062
2021,12,7.585
2022,1,6.264
2022,2,6.144
2022,3,6.591
2022,4,7.16
2022,5,9.132
2022,6,11.745
2022,7,13.897
2022,8,14.782
2022,9,12.572
2022,10,10.929
2022,11,8.617
2022,12,6.809
2023,1,6.456
2023,2,6.52
2023,3,6.083
2023,4,6.679
2023,5,10.094
2023,6,12.435
2023,7,14.333
2023,8,13.923
2023,9,12.306
2023,10,10.667
2023,11,9.135
2023,12,8.643
2024,1,7.942
2024,2,7.369
2024,3,7.277
2024,4,8.234
2024,5,9.837
2024,6,11.565
2024,7,14.244
2024,8,14.171
2024,9,12.116
2024,10,9.888
2024,11,9.043
2024,12,7.974
2025,1,6.659
2025,2,6.292
2025,3,6.147
2025,4,7.099
2025,5,9.002
2025,6,11.338
2025,7,12.809
2025,8,13.261
2025,9,11.638
2025,10,9.755
2025,11,8.403
2025,12,7.381
2026,1,6.659
2026,2,6.292
2026,3,6.147
2026,4,7.099
2026,5,9.002
2026,6,11.338
2026,7,12.809
2026,8,13.261
2026,9,11.638
2026,10,9.755
2026,11,8.403
2026,12,7.381
2027,1,6.659
2027,2,6.292
2027,3,6.147
2027,4,7.099
2027,5,9.002
2027,6,11.338
2027,7,12.809
2027,8,13.261
2027,9,11.638
2027,10,9.755
2027,11,8.403
2027,12,7.381
2028,1,6.659
2028,2,6.292
2028,3,6.147
2028,4,7.099
2028,5,9.002
2028,6,11.338
2028,7,12.809
2028,8,13.261
2028,9,11.638
2028,10,9.755
2028,11,8.403
2028,12,7.381
2029,1,6.659
2029,2,6.292
2029,3,6.147
2029,4,7.099
2029,5,9.002
2029,6,11.338
2029,7,12.809
2029,8,13.261
2029,9,11.638
2029,10,9.755
2029,11,8.403
2029,12,7.381
2030,1,7.087
2030,2,6.147
2030,3,6.028
2030,4,6.711
2030,5,9.456
2030,6,11.896
2030,7,14.609
2030,8,12.748
2030,9,11.809
2030,10,11.334
2030,11,10.503
2030,12,9.425
2031,1,9.749
2031,2,9.079
2031,3,9.471
2031,4,10.108
2031,5,11.794
2031,6,12.789
2031,7,13.773
2031,8,13.751
2031,9,12.194
2031,10,10.116
2031,11,9.706
2031,12,8.501
2032,1,6.659
2032,2,6.292
2032,3,6.147
2032,4,7.099
2032,5,9.002
2032,6,11.338
2032,7,12.809
2032,8,13.261
2032,9,11.638
2032,10,9.755
2032,11,8.403
2032,12,7.381
2033,1,6.659
2033,2,6.292
2033,3,6.147
2033,4,7.099
2033,5,9.002
2033,6,11.338
2033,7,12.809
2033,8,13.261
2033,9,11.638
2033,10,9.755
2033,11,8.403
2033,12,7.381
2034,1,6.659
2034,2,6.292
2034,3,6.147
2034,4,7.099
2034,5,9.002
2034,6,11.338
2034,7,12.809
2034,8,13.261
2034,9,11.638
2034,10,9.755
2034,11,8.403
2034,12,7.381
2035,1,6.659
2035,2,6.292
2035,3,6.147
2035,4,7.099
2035,5,9.002
2035,6,11.338
2035,7,12.809
2035,8,13.261
2035,9,11.638
2035,10,9.755
2035,11,8.403
2035,12,7.381
2036,1,6.659
2036,2,6.292
2036,3,6.147
2036,4,7.099
2036,5,9.002
2036,6,11.338
2036,7,12.809
2036,8,13.261
2036,9,11.638
2036,10,9.755
2036,11,8.403
2036,12,7.381
2037,1,6.659
2037,2,6.292
2037,3,6.147
2037,4,7.099
2037,5,9.002
2037,6,11.338
2037,7,12.809
2037,8,13.261
2037,9,11.638
2037,10,9.755
2037,11,8.403
2037,12,7.381
2038,1,6.659
2038,2,6.292
2038,3,6.147
2038,4,7.099
2038,5,9.002
2038,6,11.338
2038,7,12.809
2038,8,13.261
