year,month,sst
2012,1,10.007
2012,2,10.062
2012,3,9.168
2012,4,10.847
2012,5,10.283
2012,6,10.782
2012,7,11.737
2012,8,12.072
2012,9,12.426
2012,10,12.085
2012,11,12.541
2012,12,11.744
2013,1,9.947
2013,2,9.209
2013,3,9.137
2013,4,9.248
2013,5,10.305
2013,6,11.281
2013,7,11.372
2013,8,12.604
2013,9,14.56
2013,10,10.55
2013,11,10.112
2013,12,9.464
2014,1,10.059
2014,2,10.226
2014,3,10.731
2014,4,10.92
2014,5,12.113
2014,6,9.881
2014,7,12.968
2014,8,13.15
2014,9,13.657
2014,10,14.659
2014,11,14.151
2014,12,14.456
2015,1,12.917
2015,2,12.489
2015,3,11.807
2015,4,11.292
2015,5,10.174
2015,6,11.776
2015,7,14.392
2015,8,14.973
2015,9,13.9
2015,10,14.115
2015,11,12.803
2015,12,12.221
2016,1,11.649
2016,2,11.836
2016,3,12.373
2016,4,12.753
2016,5,11.266
2016,6,12.04
2016,7,12.141
2016,8,12.51
2016,9,12.929
2016,10,13.491
2016,11,14.611
2016,12,11.935
2017,1,10.579
2017,2,11.368
2017,3,11.532
2017,4,11.392
2017,5,10.856
2017,6,12.465
2017,7,12.808
2017,8,14.484
2017,9,13.742
2017,10,11.249
2017,11,11.812
2017,12,11.437
2018,1,11.424
2018,2,10.435
2018,3,10.427
2018,4,11.229
2018,5,10.57
2018,6,11.462
2018,7,12.617
2018,8,13.468
2018,9,12.328
2018,10,11.83
2018,11,11.339
2018,12,12.145
2019,1,11.293
2019,2,11.041
2019,3,10.855
2019,4,11.53
2019,5,10.994
2019,6,11.341
2019,7,13.559
2019,8,13.357
2019,9,14.98
2019,10,11.548
2019,11,11.324
2019,12,11.569
2020,1,11.211
2020,2,9.939
2020,3,9.699
2020,4,11.482
2020,5,12.84
2020,6,11.839
2020,7,11.796
2020,8,13.493
2020,9,14.525
2020,10,12.895
2020,11,10.963
2020,12,10.774
2021,1,10.718
2021,2,10.133
2021,3,9.89
2021,4,9.32
2021,5,9.643
2021,6,12.032
2021,7,11.754
2021,8,10.932
2021,9,11.193
2021,10,11.852
2021,11,13.048
2021,12,11.018
2022,1,10.422
2022,2,9.99
2022,3,9.937
2022,4,9.761
2022,5,10.558
2022,6,11.919
2022,7,13.63
2022,8,14.492
2022,9,13.575
2022,10,13.06
2022,11,10.504
2022,12,10.283
2023,1,10.859
2023,2,9.756
2023,3,9.249
2023,4,10.414
2023,5,11.47
2023,6,11.278
2023,7,12.456
2023,8,13.64
2023,9,13.379
