year,month,sst
2012,1,15.173
2012,2,14.868
2012,3,13.913
2012,4,14.749
2012,5,17.282
2012,6,18.214
2012,7,18.594
2012,8,20.736
2012,9,21.21
2012,10,20.281
2012,11,17.007
2012,12,16.113
2013,1,13.897
2013,2,13.846
2013,3,14.499
2013,4,15.44
2013,5,17.911
2013,6,19.15
2013,7,20.387
2013,8,19.263
2013,9,19.667
2013,10,19.06
2013,11,17.621
2013,12,15.967
2014,1,15.808
2014,2,15.477
2014,3,16.279
2014,4,15.617
2014,5,17.902
2014,6,19.759
2014,7,21.011
2014,8,21.396
2014,9,22.275
2014,10,21.724
2014,11,19.545
2014,12,18.057
2015,1,16.749
2015,2,16.845
2015,3,17.381
2015,4,16.758
2015,5,16.993
2015,6,18.921
2015,7,20.613
2015,8,21.914
2015,9,23.06
2015,10,22.745
2015,11,19.283
2015,12,17.636
2016,1,15.717
2016,2,16.067
2016,3,16.162
2016,4,16.284
2016,5,17.293
2016,6,18.823
2016,7,21.31
2016,8,21.467
2016,9,20.896
2016,10,19.415
2016,11,18.525
2016,12,15.605
2017,1,14.789
2017,2,14.97
2017,3,15.401
2017,4,15.847
2017,5,16.897
2017,6,18.161
2017,7,20.929
2017,8,21.213
2017,9,20.914
2017,10,20.14
2017,11,18.347
2017,12,16.643
2018,1,16.158
2018,2,15.551
2018,3,14.849
2018,4,14.938
2018,5,16.379
2018,6,18.675
2018,7,21.309
2018,8,22.838
2018,9,21.124
2018,10,19.998
2018,11,19.054
2018,12,16.768
2019,1,15.72
2019,2,14.737
2019,3,14.687
2019,4,15.508
2019,5,15.804
2019,6,18.08
2019,7,19.995
2019,8,20.936
2019,9,21.787
2019,10,19.652
2019,11,18.21
2019,12,16.356
2020,1,15.651
2020,2,15.609
2020,3,15.777
2020,4,16.279
2020,5,18.056
2020,6,18.759
2020,7,19.334
2020,8,20.57
2020,9,20.446
2020,10,20.735
2020,11,16.652
2020,12,15.745
2021,1,14.979
2021,2,14.49
2021,3,14.41
2021,4,16.133
2021,5,17.212
2021,6,18.038
2021,7,20.109
2021,8,19.739
2021,9,19.24
2021,10,18.132
2021,11,16.972
2021,12,15.585
2022,1,14.968
2022,2,15.282
2022,3,15.345
2022,4,15.831
2022,5,16.625
2022,6,19.378
2022,7,20.195
2022,8,21.313
2022,9,22.551
2022,10,20.51
2022,11,17.366
2022,12,15.858
2023,1,14.733
2023,2,13.952
2023,3,13.982
2023,4,14.515
2023,5,16.648
2023,6,17.795
2023,7,19.546
2023,8,20.978
2023,9,20.291
2023,10,19.73
2023,11,18.165
2023,12,16.994
2024,1,15.711
2024,2,15.292
2024,3,15.343
2024,4,14.85
2024,5,16.023
2024,6,18.226
2024,7,20.288
2024,8,21.245
2024,9,20.102
2024,10,18.321
2024,11,15.987
2024,12,15.115
2025,1,14.793
2025,2,14.673
2025,3,14.494
2025,4,15.025
2025,5,16.527
2025,6,18.008
2025,7,19.604
2025,8,20.192
2025,9,19.758
2025,10,18.583
2025,11,17.11
2025,12,15.474
2026,1,14.793
2026,2,14.673
2026,3,14.494
2026,4,15.025
2026,5,16.527
2026,6,18.008
2026,7,19.604
2026,8,20.192
2026,9,19.758
2026,10,18.583
2026,11,17.11
2026,12,15.474
2027,1,14.793
2027,2,14.673
2027,3,14.494
2027,4,15.025
2027,5,16.527
2027,6,18.008
2027,7,19.604
2027,8,20.192
2027,9,19.758
2027,10,18.583
2027,11,17.11
2027,12,15.474
2028,1,14.793
2028,2,14.673
2028,3,14.494
2028,4,15.025
2028,5,16.527
2028,6,18.008
2028,7,19.604
2028,8,20.192
2028,9,19.758
2028,10,18.583
2028,11,17.11
2028,12,15.474
2029,1,14.793
2029,2,14.673
2029,3,14.494
2029,4,15.025
2029,5,16.527
2029,6,18.008
2029,7,19.604
2029,8,20.192
2029,9,19.758
2029,10,18.583
2029,11,17.11
2029,12,15.474
2030,1,15.554
2030,2,15.276
2030,3,15.833
2030,4,15.469
2030,5,17.558
2030,6,19.321
2030,7,21.117
2030,8,22.775
