year,month,sst
2012,1,7.306
2012,2,7.121
2012,3,7.335
2012,4,8.795
2012,5,10.062
2012,6,11.053
2012,7,13.01
2012,8,13.991
2012,9,12.349
2012,10,10.151
2012,11,9.052
2012,12,8.41
2013,1,7.437
2013,2,7.398
2013,3,7.866
2013,4,8.89
2013,5,10.147
2013,6,11.578
2013,7,13.951
2013,8,13.414
2013,9,12.773
2013,10,10.827
2013,11,9.098
2013,12,7.795
2014,1,7.452
2014,2,6.967
2014,3,7.879
2014,4,9.059
2014,5,11.212
2014,6,12.144
2014,7,13.235
2014,8,14.365
2014,9,13.261
2014,10,11.468
2014,11,9.96
2014,12,8.667
2015,1,8.283
2015,2,8.888
2015,3,9.049
2015,4,10.08
2015,5,11.533
2015,6,13.598
2015,7,13.879
2015,8,14.202
2015,9,12.659
2015,10,11.52
2015,11,9.85
2015,12,8.98
2016,1,8.261
2016,2,8.554
2016,3,9.085
2016,4,10.635
2016,5,11.848
2016,6,12.643
2016,7,13.908
2016,8,14.168
2016,9,12.732
2016,10,10.814
2016,11,10.302
2016,12,8.405
2017,1,7.464
2017,2,7.292
2017,3,7.86
2017,4,9.172
2017,5,10.865
2017,6,12.498
2017,7,13.78
2017,8,13.919
2017,9,13.355
2017,10,10.875
2017,11,9.242
2017,12,8.281
2018,1,7.698
2018,2,7.64
2018,3,7.981
2018,4,9.023
2018,5,11.46
2018,6,12.302
2018,7,14.066
2018,8,14.019
2018,9,12.635
2018,10,10.905
2018,11,9.507
2018,12,8.696
2019,1,8.232
2019,2,7.488
2019,3,8.082
2019,4,9.411
2019,5,11.34
2019,6,12.791
2019,7,13.665
2019,8,14.437
2019,9,13.043
2019,10,10.558
2019,11,9.378
2019,12,8.435
2020,1,8.031
2020,2,7.787
2020,3,7.936
2020,4,9.348
2020,5,11.039
2020,6,11.822
2020,7,13.207
2020,8,13.364
2020,9,12.445
2020,10,10.877
2020,11,8.973
2020,12,7.97
2021,1,7.716
2021,2,7.32
2021,3,7.777
2021,4,8.811
2021,5,10.276
2021,6,12.279
2021,7,13.979
2021,8,14.378
2021,9,13.151
2021,10,10.474
2021,11,9.099
2021,12,8.43
2022,1,7.224
2022,2,7.405
2022,3,8.085
2022,4,8.763
2022,5,10.066
2022,6,11.461
2022,7,13.183
2022,8,14.31
2022,9,12.638
2022,10,10.892
2022,11,8.791
2022,12,7.946
2023,1,7.709
2023,2,7.754
2023,3,7.61
2023,4,8.508
2023,5,10.854
2023,6,11.761
2023,7,12.473
2023,8,13.4
2023,9,12.062
2023,10,10.736
2023,11,9.786
2023,12,9.221
2024,1,8.575
2024,2,8.401
2024,3,8.693
2024,4,9.552
2024,5,10.659
2024,6,11.397
2024,7,12.983
2024,8,12.876
2024,9,12.309
2024,10,10.345
2024,11,9.325
2024,12,8.757
2025,1,7.535
2025,2,7.591
2025,3,7.911
2025,4,8.906
2025,5,10.441
2025,6,12.006
2025,7,13.198
2025,8,13.503
2025,9,12.223
2025,10,10.458
2025,11,9.076
2025,12,8.156
2026,1,7.535
2026,2,7.591
2026,3,7.911
2026,4,8.906
2026,5,10.441
2026,6,12.006
2026,7,13.198
2026,8,13.503
2026,9,12.223
2026,10,10.458
2026,11,9.076
2026,12,8.156
2027,1,7.535
2027,2,7.591
2027,3,7.911
2027,4,8.906
2027,5,10.441
2027,6,12.006
2027,7,13.198
2027,8,13.503
2027,9,12.223
2027,10,10.458
2027,11,9.076
2027,12,8.156
2028,1,7.535
2028,2,7.591
2028,3,7.911
2028,4,8.906
2028,5,10.441
2028,6,12.006
2028,7,13.198
2028,8,13.503
2028,9,12.223
2028,10,10.458
2028,11,9.076
2028,12,8.156
2029,1,7.535
2029,2,7.591
2029,3,7.911
2029,4,8.906
2029,5,10.441
2029,6,12.006
2029,7,13.198
2029,8,13.503
2029,9,12.223
2029,10,10.458
2029,11,9.076
2029,12,8.156
2030,1,7.473
2030,2,7.123
2030,3,7.887
2030,4,9.021
2030,5,11.019
2030,6,12.11
2030,7,14.22
2030,8,14.551
2030,9,12.877
2030,10,12.051
2030,11,10.237
2030,12,9.392
2031,1,8.657
2031,2,9.536
2031,3,9.618
2031,4,10.667
2031,5,12.079
2031,6,14.394
2031,7,13.73
2031,8,14.002
2031,9,12.605
2031,10,10.725
2031,11,9.995
2031,12,8.343
2032,1,7.535
2032,2,7.591
2032,3,7.911
2032,4,8.906
2032,5,10.441
2032,6,12.006
2032,7,13.198
2032,8,13.503
2032,9,12.223
2032,10,10.458
2032,11,9.076
2032,12,8.156
2033,1,7.535
2033,2,7.591
2033,3,7.911
2033,4,8.906
2033,5,10.441
2033,6,12.006
2033,7,13.198
2033,8,13.503
2033,9,12.223
2033,10,10.458
2033,11,9.076
2033,12,8.156
2034,1,7.535
2034,2,7.591
2034,3,7.911
2034,4,8.906
2034,5,10.441
2034,6,12.006
2034,7,13.198
2034,8,13.503
2034,9,12.223
2034,10,10.458
2034,11,9.076
2034,12,8.156
2035,1,7.535
2035,2,7.591
2035,3,7.911
2035,4,8.906
2035,5,10.441
2035,6,12.006
2035,7,13.198
2035,8,13.503
2035,9,12.223
2035,10,10.458
2035,11,9.076
2035,12,8.156
2036,1,7.535
2036,2,7.591
2036,3,7.911
2036,4,8.906
2036,5,10.441
2036,6,12.006
2036,7,13.198
2036,8,13.503
2036,9,12.223
2036,10,10.458
2036,11,9.076
2036,12,8.156
2037,1,7.535
2037,2,7.591
2037,3,7.911
2037,4,8.906
2037,5,10.441
2037,6,12.006
2037,7,13.198
2037,8,13.503
2037,9,12.223
2037,10,10.458
2037,11,9.076
2037,12,8.156
2038,1,7.535
2038,2,7.591
2038,3,7.911
2038,4,8.906
2038,5,10.441
2038,6,12.006
2038,7,13.198
2038,8,13.503
2038,9,12.223
2038,10,10.458
2038,11,9.076
2038,12,8.156
2039,1,7.535
2039,2,7.591
2039,3,7.911
2039,4,8.906
2039,5,10.441
2039,6,12.006
2039,7,13.198
2039,8,13.503
2039,9,12.223
2039,10,10.458
2039,11,9.076
2039,12,8.156
2040,1,7.535
2040,2,7.591
2040,3,7.911
2040,4,8.906
2040,5,10.441
2040,6,12.006
2040,7,13.198
2040,8,13.503
2040,9,12.223
2040,10,10.458
2040,11,9.076
2040,12,8.156
2041,1,7.535
2041,2,7.591
2041,3,7.911
2041,4,8.906
2041,5,10.441
2041,6,12.006
2041,7,13.198
2041,8,13.503
2041,9,12.223
2041,10,10.458
2041,11,9.076
2041,12,8.156
2042,1,7.535
2042,2,7.591
2042,3,7.911
2042,4,8.906
2042,5,10.441
2042,6,12.006
2042,7,13.198
2042,8,13.503
2042,9,12.223
2042,10,10.458
2042,11,9.076
2042,12,8.156
2043,1,7.535
2043,2,7.591
2043,3,7.911
2043,4,8.906
2043,5,10.441
2043,6,12.006
2043,7,13.198
2043,8,13.503
2043,9,12.223
2043,10,10.458
2043,11,9.076
2043,12,8.156
2044,1,7.535
2044,2,7.591
2044,3,7.911
2044,4,8.906
2044,5,10.441
2044,6,12.006
2044,7,13.198
2044,8,13.503
2044,9,12.223
2044,10,10.458
2044,11,9.076
2044,12,8.156
2045,1,7.535
2045,2,7.591
2045,3,7.911
2045,4,8.906
2045,5,10.441
2045,6,12.006
2045,7,13.198
2045,8,13.503
2045,9,12.223
2045,10,10.458
2045,11,9.076
2045,12,8.156
2046,1,7.535
2046,2,7.591
2046,3,7.911
2046,4,8.906
2046,5,10.441
2046,6,12.006
2046,7,13.198
2046,8,13.503
2046,9,12.223
2046,10,10.458
2046,11,9.076
2046,12,8.156
2047,1,7.535
2047,2,7.591
2047,3,7.911
2047,4,8.906
2047,5,10.441
2047,6,12.006
2047,7,13.198
2047,8,13.503
2047,9,12.223
2047,10,10.458
2047,11,9.076
2047,12,8.156
2048,1,7.535
2048,2,7.591
2048,3,7.911
2048,4,8.906
2048,5,10.441
2048,6,12.006
2048,7,13.198
2048,8,13.503
2048,9,12.223
2048,10,10.458
2048,11,9.076
2048,12,8.156
2049,1,7.535
2049,2,7.591
2049,3,7.911
2049,4,8.906
2049,5,10.441
2049,6,12.006
2049,7,13.198
2049,8,13.503
2049,9,12.223
2049,10,10.458
2049,11,9.076
2049,12,8.156
2050,1,7.535
2050,2,7.591
2050,3,7.911
2050,4,8.906
2050,5,10.441
2050,6,12.006
2050,7,13.198
2050,8,13.503
2050,9,12.223
2050,10,10.458
2050,11,9.076
2050,12,8.156
