year,month,sst
2012,1,6.914
2012,2,6.806
2012,3,7.203
2012,4,9.234
2012,5,11.192
2012,6,13.003
2012,7,15.948
2012,8,17.08
2012,9,13.993
2012,10,10.853
2012,11,8.885
2012,12,7.865
2013,1,6.882
2013,2,7.02
2013,3,7.915
2013,4,9.653
2013,5,11.502
2013,6,13.747
2013,7,17.084
2013,8,16.543
2013,9,15.209
2013,10,11.36
2013,11,9.3
2013,12,7.628
2014,1,7.177
2014,2,6.651
2014,3,7.688
2014,4,9.5
2014,5,12.757
2014,6,14.384
2014,7,16.097
2014,8,17.695
2014,9,15.405
2014,10,12.432
2014,11,9.433
2014,12,8.05
2015,1,7.612
2015,2,8.53
2015,3,9.019
2015,4,10.569
2015,5,13.443
2015,6,16.049
2015,7,16.338
2015,8,16.542
2015,9,13.965
2015,10,12.432
2015,11,9.713
2015,12,8.74
2016,1,7.587
2016,2,8.057
2016,3,8.88
2016,4,11.418
2016,5,13.232
2016,6,14.999
2016,7,16.767
2016,8,16.138
2016,9,14.285
2016,10,11.382
2016,11,10.081
2016,12,7.494
2017,1,6.899
2017,2,6.66
2017,3,7.625
2017,4,9.431
2017,5,11.956
2017,6,14.517
2017,7,16.614
2017,8,16.445
2017,9,15.382
2017,10,11.59
2017,11,9.16
2017,12,7.673
2018,1,7.246
2018,2,7.188
2018,3,7.868
2018,4,9.381
2018,5,13.16
2018,6,14.327
2018,7,16.757
2018,8,16.948
2018,9,14.113
2018,10,11.65
2018,11,9.592
2018,12,8.465
2019,1,7.738
2019,2,6.814
2019,3,7.892
2019,4,9.804
2019,5,12.779
2019,6,15.167
2019,7,16.489
2019,8,17.479
2019,9,15.126
2019,10,11.07
2019,11,9.54
2019,12,8.279
2020,1,7.648
2020,2,7.235
2020,3,7.843
2020,4,9.967
2020,5,12.73
2020,6,13.898
2020,7,15.905
2020,8,16.163
2020,9,14.626
2020,10,11.879
2020,11,8.852
2020,12,7.492
2021,1,7.202
2021,2,6.729
2021,3,7.543
2021,4,9.337
2021,5,11.898
2021,6,14.919
2021,7,17.874
2021,8,17.912
2021,9,14.82
2021,10,10.961
2021,11,8.72
2021,12,7.867
2022,1,6.565
2022,2,6.954
2022,3,8.009
2022,4,9.101
2022,5,10.95
2022,6,13.093
2022,7,15.893
2022,8,17.529
2022,9,14.774
2022,10,12.085
2022,11,8.581
2022,12,7.59
2023,1,7.178
2023,2,7.389
2023,3,7.49
2023,4,8.752
2023,5,12.563
2023,6,14.038
2023,7,15.351
2023,8,15.731
2023,9,13.731
2023,10,11.204
2023,11,9.508
2023,12,8.742
2024,1,7.905
2024,2,7.837
2024,3,8.546
2024,4,9.803
2024,5,11.878
2024,6,13.334
2024,7,15.885
2024,8,15.753
2024,9,14.193
2024,10,11.072
2024,11,9.261
2024,12,8.353
2025,1,7.089
2025,2,7.176
2025,3,7.737
2025,4,9.22
2025,5,11.62
2025,6,13.849
2025,7,15.59
2025,8,15.945
2025,9,13.835
2025,10,11.141
2025,11,8.971
2025,12,7.677
2026,1,7.089
2026,2,7.176
2026,3,7.737
2026,4,9.22
2026,5,11.62
2026,6,13.849
2026,7,15.59
2026,8,15.945
2026,9,13.835
2026,10,11.141
2026,11,8.971
2026,12,7.677
2027,1,7.089
