year,month,sst
2012,1,3.679
2012,2,3.381
2012,3,3.053
2012,4,3.39
2012,5,3.652
2012,6,4.816
2012,7,6.725
2012,8,8.346
2012,9,7.32
2012,10,6.473
2012,11,5.516
2012,12,4.804
2013,1,3.76
2013,2,3.435
2013,3,3.266
2013,4,3.635
2013,5,4.501
2013,6,5.873
2013,7,8.07
2013,8,9.793
2013,9,8.872
2013,10,7.152
2013,11,6.183
2013,12,4.775
2014,1,4.435
2014,2,4.074
2014,3,4.011
2014,4,4.439
2014,5,5.333
2014,6,6.213
2014,7,7.762
2014,8,9.886
2014,9,9.037
2014,10,7.951
2014,11,6.198
2014,12,5.275
2015,1,5.115
2015,2,4.596
2015,3,4.669
2015,4,4.55
2015,5,5.059
2015,6,6.092
2015,7,7.432
2015,8,8.796
2015,9,9.615
2015,10,8.032
2015,11,6.021
2015,12,4.682
2016,1,4.028
2016,2,4.14
2016,3,4.477
2016,4,4.84
2016,5,5.483
2016,6,6.752
2016,7,8.854
2016,8,10.133
2016,9,10.007
2016,10,8.079
2016,11,6.208
2016,12,5.395
2017,1,4.255
2017,2,4.215
2017,3,4.419
2017,4,4.317
2017,5,4.731
2017,6,5.958
2017,7,7.743
2017,8,9.554
2017,9,9.007
2017,10,7.606
2017,11,6.629
2017,12,5.056
2018,1,4.657
2018,2,4.481
2018,3,4.092
2018,4,4.143
2018,5,4.806
2018,6,5.691
2018,7,6.988
2018,8,8.451
2018,9,9.437
2018,10,7.698
2018,11,6.15
2018,12,5.083
2019,1,4.653
2019,2,4.632
2019,3,4.307
2019,4,4.534
2019,5,5.607
2019,6,6.283
2019,7,7.752
2019,8,9.531
2019,9,8.608
2019,10,7.709
2019,11,6.33
2019,12,5.12
2020,1,4.711
2020,2,4.513
2020,3,4.226
2020,4,4.259
2020,5,5.403
2020,6,6.876
2020,7,6.939
2020,8,8.335
2020,9,8.871
2020,10,7.507
2020,11,5.992
2020,12,4.718
2021,1,4.035
2021,2,4.04
2021,3,3.747
2021,4,4.066
2021,5,4.709
2021,6,6.373
2021,7,8.315
2021,8,9.853
2021,9,9.207
2021,10,6.68
2021,11,5.73
2021,12,4.92
2022,1,4.388
2022,2,4.148
2022,3,4.135
2022,4,4.34
2022,5,5.145
2022,6,5.792
2022,7,6.917
2022,8,7.86
2022,9,8.48
2022,10,7.503
2022,11,6.278
2022,12,5.613
2023,1,4.63
2023,2,4.43
2023,3,3.963
2023,4,4.058
2023,5,4.584
2023,6,5.382
2023,7,6.985
2023,8,8.165
2023,9,8.758
2023,10,7.575
2023,11,6.332
2023,12,5.235
2024,1,4.447
2024,2,4.172
2024,3,3.782
2024,4,3.963
2024,5,4.368
2024,6,5.157
2024,7,6.548
2024,8,7.645
2024,9,7.187
2024,10,6.584
2024,11,5.428
2024,12,4.879
2025,1,3.983
2025,2,3.691
2025,3,3.622
2025,4,3.883
2025,5,4.527
2025,6,5.738
2025,7,7.473
2025,8,8.814
2025,9,8.206
2025,10,6.793
2025,11,5.535
2025,12,4.496
2026,1,3.983
2026,2,3.691
2026,3,3.622
2026,4,3.883
2026,5,4.527
2026,6,5.738
2026,7,7.473
2026,8,8.814
2026,9,8.206
2026,10,6.793
2026,11,5.535
2026,12,4.496
2027,1,3.983
2027,2,3.691
2027,3,3.622
2027,4,3.883
2027,5,4.527
2027,6,5.738
2027,7,7.473
2027,8,8.814
2027,9,8.206
2027,10,6.793
2027,11,5.535
2027,12,4.496
2028,1,3.983
2028,2,3.691
2028,3,3.622
2028,4,3.883
2028,5,4.527
2028,6,5.738
2028,7,7.473
2028,8,8.814
2028,9,8.206
2028,10,6.793
2028,11,5.535
2028,12,4.496
2029,1,3.983
2029,2,3.691
2029,3,3.622
2029,4,3.883
2029,5,4.527
2029,6,5.738
2029,7,7.473
2029,8,8.814
2029,9,8.206
2029,10,6.793
2029,11,5.535
2029,12,4.496
2030,1,4.096
2030,2,3.786
2030,3,3.719
2030,4,4.022
2030,5,4.729
2030,6,5.856
2030,7,7.453
2030,8,8.805
2030,9,8.91
2030,10,7.412
2030,11,5.778
2030,12,4.589
2031,1,4.549
2031,2,4.143
2031,3,4.146
2031,4,4.217
2031,5,4.793
2031,6,5.915
2031,7,7.818
2031,8,9.144
2031,9,8.656
2031,10,7.114
2031,11,5.703
2031,12,4.72
2032,1,3.983
2032,2,3.691
2032,3,3.622
2032,4,3.883
2032,5,4.527
2032,6,5.738
2032,7,7.473
2032,8,8.814
2032,9,8.206
2032,10,6.793
2032,11,5.535
2032,12,4.496
2033,1,3.983
2033,2,3.691
2033,3,3.622
2033,4,3.883
2033,5,4.527
2033,6,5.738
2033,7,7.473
2033,8,8.814
2033,9,8.206
2033,10,6.793
2033,11,5.535
2033,12,4.496
2034,1,3.983
2034,2,3.691
2034,3,3.622
2034,4,3.883
2034,5,4.527
2034,6,5.738
2034,7,7.473
2034,8,8.814
2034,9,8.206
2034,10,6.793
2034,11,5.535
2034,12,4.496
2035,1,3.983
2035,2,3.691
2035,3,3.622
2035,4,3.883
2035,5,4.527
2035,6,5.738
2035,7,7.473
2035,8,8.814
2035,9,8.206
2035,10,6.793
2035,11,5.535
2035,12,4.496
2036,1,3.983
2036,2,3.691
2036,3,3.622
2036,4,3.883
2036,5,4.527
2036,6,5.738
2036,7,7.473
2036,8,8.814
2036,9,8.206
2036,10,6.793
2036,11,5.535
2036,12,4.496
2037,1,3.983
2037,2,3.691
2037,3,3.622
2037,4,3.883
2037,5,4.527
2037,6,5.738
2037,7,7.473
2037,8,8.814
2037,9,8.206
2037,10,6.793
2037,11,5.535
2037,12,4.496
2038,1,3.983
2038,2,3.691
2038,3,3.622
2038,4,3.883
2038,5,4.527
2038,6,5.738
2038,7,7.473
2038,8,8.814
2038,9,8.206
2038,10,6.793
2038,11,5.535
2038,12,4.496
2039,1,3.983
2039,2,3.691
2039,3,3.622
2039,4,3.883
2039,5,4.527
2039,6,5.738
2039,7,7.473
2039,8,8.814
2039,9,8.206
2039,10,6.793
2039,11,5.535
2039,12,4.496
2040,1,3.983
2040,2,3.691
2040,3,3.622
2040,4,3.883
2040,5,4.527
2040,6,5.738
2040,7,7.473
2040,8,8.814
2040,9,8.206
2040,10,6.793
2040,11,5.535
2040,12,4.496
2041,1,3.983
2041,2,3.691
2041,3,3.622
2041,4,3.883
2041,5,4.527
2041,6,5.738
2041,7,7.473
2041,8,8.814
2041,9,8.206
2041,10,6.793
2041,11,5.535
2041,12,4.496
2042,1,3.983
2042,2,3.691
2042,3,3.622
2042,4,3.883
2042,5,4.527
2042,6,5.738
2042,7,7.473
2042,8,8.814
2042,9,8.206
2042,10,6.793
2042,11,5.535
2042,12,4.496
2043,1,3.983
2043,2,3.691
2043,3,3.622
2043,4,3.883
2043,5,4.527
2043,6,5.738
2043,7,7.473
2043,8,8.814
2043,9,8.206
2043,10,6.793
2043,11,5.535
2043,12,4.496
2044,1,3.983
2044,2,3.691
2044,3,3.622
2044,4,3.883
2044,5,4.527
2044,6,5.738
2044,7,7.473
2044,8,8.814
2044,9,8.206
2044,10,6.793
2044,11,5.535
2044,12,4.496
2045,1,3.983
2045,2,3.691
2045,3,3.622
2045,4,3.883
2045,5,4.527
2045,6,5.738
2045,7,7.473
2045,8,8.814
2045,9,8.206
2045,10,6.793
2045,11,5.535
2045,12,4.496
2046,1,3.983
2046,2,3.691
2046,3,3.622
2046,4,3.883
2046,5,4.527
2046,6,5.738
2046,7,7.473
2046,8,8.814
2046,9,8.206
2046,10,6.793
2046,11,5.535
2046,12,4.496
2047,1,3.983
2047,2,3.691
2047,3,3.622
2047,4,3.883
2047,5,4.527
2047,6,5.738
2047,7,7.473
2047,8,8.814
2047,9,8.206
2047,10,6.793
2047,11,5.535
2047,12,4.496
2048,1,3.983
2048,2,3.691
2048,3,3.622
2048,4,3.883
2048,5,4.527
2048,6,5.738
2048,7,7.473
2048,8,8.814
2048,9,8.206
2048,10,6.793
2048,11,5.535
2048,12,4.496
2049,1,3.983
2049,2,3.691
2049,3,3.622
2049,4,3.883
2049,5,4.527
2049,6,5.738
2049,7,7.473
2049,8,8.814
2049,9,8.206
2049,10,6.793
2049,11,5.535
2049,12,4.496
2050,1,3.983
2050,2,3.691
2050,3,3.622
2050,4,3.883
2050,5,4.527
2050,6,5.738
2050,7,7.473
2050,8,8.814
2050,9,8.206
2050,10,6.793
2050,11,5.535
2050,12,4.496
