year,month,sst
2012,1,4.395
2012,2,3.918
2012,3,3.592
2012,4,5.349
2012,5,6.551
2012,6,9.328
2012,7,11.224
2012,8,12.516
2012,9,10.988
2012,10,8.765
2012,11,7.201
2012,12,5.658
2013,1,4.915
2013,2,4.298
2013,3,4.263
2013,4,4.606
2013,5,6.181
2013,6,11.536
2013,7,14.68
2013,8,13.766
2013,9,12.195
2013,10,10.285
2013,11,8.465
2013,12,6.214
2014,1,5.623
2014,2,4.838
2014,3,4.815
2014,4,5.277
2014,5,8.596
2014,6,10.801
2014,7,13.879
2014,8,13.781
2014,9,13.029
2014,10,10.648
2014,11,9.194
2014,12,8.013
2015,1,6.942
2015,2,5.979
2015,3,5.557
2015,4,6.207
2015,5,8.671
2015,6,11.43
2015,7,14.521
2015,8,15.375
2015,9,12.56
2015,10,10.259
2015,11,8.446
2015,12,7.046
2016,1,6.345
2016,2,6.087
2016,3,5.936
2016,4,6.945
2016,5,9.352
2016,6,13.113
2016,7,15.366
2016,8,14.276
2016,9,13.48
2016,10,10.379
2016,11,9.012
2016,12,7.498
2017,1,6.351
2017,2,5.404
2017,3,4.855
2017,4,5.713
2017,5,7.115
2017,6,10.778
2017,7,13.534
2017,8,14.295
2017,9,12.006
2017,10,10.304
2017,11,7.946
2017,12,6.541
2018,1,5.412
2018,2,4.892
2018,3,4.724
2018,4,5.335
2018,5,6.816
2018,6,10.257
2018,7,13.303
2018,8,13.487
2018,9,13.47
2018,10,10.49
2018,11,7.965
2018,12,6.463
2019,1,6.198
2019,2,5.92
2019,3,5.652
2019,4,6.341
2019,5,8.006
2019,6,11.992
2019,7,15.047
2019,8,15.954
2019,9,13.47
2019,10,10.457
2019,11,8.635
2019,12,7.236
2020,1,5.569
2020,2,4.802
2020,3,4.461
2020,4,5.351
2020,5,7.907
2020,6,11.172
2020,7,14.167
2020,8,14.428
2020,9,12.706
2020,10,10.393
2020,11,7.926
2020,12,6.452
2021,1,5.723
2021,2,5.104
2021,3,4.663
2021,4,5.208
2021,5,7.299
2021,6,10.299
2021,7,13.184
2021,8,13.993
2021,9,11.913
2021,10,9.572
2021,11,7.678
2021,12,6.005
2022,1,5.094
2022,2,4.365
2022,3,4.578
2022,4,5.442
2022,5,7.823
2022,6,12.634
2022,7,13.434
2022,8,13.787
2022,9,12.235
2022,10,10.345
2022,11,8.243
2022,12,6.426
2023,1,5.389
2023,2,4.655
2023,3,4.263
2023,4,4.964
2023,5,6.457
2023,6,9.759
2023,7,12.724
2023,8,13.687
2023,9,12.283
2023,10,10.061
2023,11,8.603
2023,12,7.12
2024,1,6.117
2024,2,5.24
2024,3,4.989
2024,4,5.663
2024,5,7.547
2024,6,10.472
2024,7,12.592
2024,8,13.792
2024,9,11.996
2024,10,9.654
2024,11,7.789
2024,12,6.632
