year,month,sst
2012,1,7.616
2012,2,7.167
2012,3,7.151
2012,4,8.526
2012,5,9.025
2012,6,10.819
2012,7,12.316
2012,8,13.251
2012,9,11.418
2012,10,9.514
2012,11,9.558
2012,12,9.357
2013,1,8.445
2013,2,8.302
2013,3,7.793
2013,4,8.602
2013,5,10.237
2013,6,12.343
2013,7,13.351
2013,8,12.942
2013,9,13.586
2013,10,11.724
2013,11,9.652
2013,12,7.994
2014,1,7.604
2014,2,6.947
2014,3,7.793
2014,4,9.033
2014,5,11.517
2014,6,11.625
2014,7,12.919
2014,8,13.826
2014,9,12.663
2014,10,12.771
2014,11,11.658
2014,12,10.639
2015,1,9.671
2015,2,9.686
2015,3,9.71
2015,4,10.023
2015,5,10.964
2015,6,12.368
2015,7,14.026
2015,8,14.138
2015,9,12.959
2015,10,12.448
2015,11,11.357
2015,12,10.031
2016,1,9.036
2016,2,9.528
2016,3,9.258
2016,4,10.498
2016,5,11.422
2016,6,13.014
2016,7,13.752
2016,8,12.984
2016,9,12.079
2016,10,11.276
2016,11,11.826
2016,12,10.022
2017,1,8.575
2017,2,7.964
2017,3,7.865
2017,4,9.195
2017,5,10.652
2017,6,11.818
2017,7,13.21
2017,8,13.817
2017,9,12.607
2017,10,10.682
2017,11,9.594
2017,12,9.386
2018,1,8.619
2018,2,8.209
2018,3,8.264
2018,4,8.873
2018,5,11.035
2018,6,12.287
2018,7,13.405
2018,8,13.389
2018,9,12.269
2018,10,10.705
2018,11,10.138
2018,12,9.311
2019,1,8.659
2019,2,8.067
2019,3,8.576
2019,4,9.629
2019,5,10.709
2019,6,12.085
2019,7,14.604
2019,8,14.263
2019,9,13.739
2019,10,11.11
2019,11,10.242
2019,12,9.032
2020,1,8.224
2020,2,7.868
2020,3,7.879
2020,4,8.793
2020,5,10.782
2020,6,12.047
2020,7,13.457
2020,8,14.737
2020,9,14.201
2020,10,12.164
2020,11,9.734
2020,12,8.666
2021,1,8.401
2021,2,7.622
2021,3,7.877
2021,4,8.205
2021,5,9.469
2021,6,11.828
2021,7,13.772
2021,8,14.054
2021,9,12.687
2021,10,11.317
2021,11,10.118
2021,12,8.95
2022,1,8.107
2022,2,7.699
2022,3,7.927
2022,4,8.123
2022,5,9.301
2022,6,11.069
2022,7,12.758
2022,8,13.118
2022,9,11.725
2022,10,10.851
2022,11,8.948
2022,12,8.056
2023,1,8.289
2023,2,8.191
2023,3,7.546
2023,4,8.078
2023,5,10.363
2023,6,10.568
2023,7,12.15
2023,8,13.035
2023,9,11.207
2023,10,11.585
2023,11,11.032
2023,12,10.131
2024,1,9.311
2024,2,9.219
2024,3,8.936
2024,4,9.242
2024,5,10.059
2024,6,10.774
2024,7,12.393
2024,8,12.382
2024,9,11.129
2024,10,11.255
2024,11,9.894
2024,12,9.38
2025,1,8.07
2025,2,7.831
2025,3,7.764
2025,4,8.338
2025,5,9.649
2025,6,11.397
2025,7,12.638
2025,8,13.08
2025,9,11.933
2025,10,10.466
2025,11,9.585
2025,12,8.673
2026,1,8.07
2026,2,7.831
2026,3,7.764
2026,4,8.338
2026,5,9.649
2026,6,11.397
2026,7,12.638
2026,8,13.08
2026,9,11.933
2026,10,10.466
2026,11,9.585
2026,12,8.673
2027,1,8.07
2027,2,7.831
2027,3,7.764
2027,4,8.338
2027,5,9.649
2027,6,11.397
2027,7,12.638
2027,8,13.08
2027,9,11.933
2027,10,10.466
