year,month,sst
2012,1,7.363
2012,2,6.901
2012,3,6.795
2012,4,7.608
2012,5,8.115
2012,6,9.73
2012,7,11.687
2012,8,13.541
2012,9,12.772
2012,10,10.984
2012,11,8.848
2012,12,8.647
2013,1,8.352
2013,2,7.901
2013,3,7.465
2013,4,7.946
2013,5,9.07
2013,6,11.254
2013,7,13.65
2013,8,14.428
2013,9,13.424
2013,10,11.391
2013,11,9.879
2013,12,8.162
2014,1,7.689
2014,2,6.805
2014,3,6.936
2014,4,7.487
2014,5,9.5
2014,6,11.412
2014,7,12.879
2014,8,15.273
2014,9,14.895
2014,10,12.163
2014,11,11.311
2014,12,10.235
2015,1,9.716
2015,2,9.458
2015,3,9.479
2015,4,9.482
2015,5,11.078
2015,6,12.777
2015,7,15.206
2015,8,14.899
2015,9,12.996
2015,10,12.009
2015,11,10.726
2015,12,9.502
2016,1,9.169
2016,2,9.026
2016,3,8.982
2016,4,9.758
2016,5,10.833
2016,6,12.259
2016,7,13.686
2016,8,14.786
2016,9,13.716
2016,10,11.404
2016,11,10.963
2016,12,10.085
2017,1,8.5
2017,2,7.79
2017,3,7.493
2017,4,8.083
2017,5,9.595
2017,6,11.077
2017,7,13.014
2017,8,14.412
2017,9,13.839
2017,10,11.59
2017,11,8.742
2017,12,8.511
2018,1,8.328
2018,2,8.277
2018,3,7.714
2018,4,7.993
2018,5,9.813
2018,6,11.649
2018,7,14.415
2018,8,14.935
2018,9,13.421
2018,10,11.882
2018,11,9.966
2018,12,9.248
2019,1,8.939
2019,2,8.174
2019,3,7.752
2019,4,8.387
2019,5,10.349
2019,6,12.324
2019,7,14.042
2019,8,14.079
2019,9,13.444
2019,10,11.152
2019,11,9.851
2019,12,8.724
2020,1,7.691
2020,2,7.546
2020,3,7.435
2020,4,7.878
2020,5,9.56
2020,6,11.017
2020,7,13.132
2020,8,13.473
2020,9,13.768
2020,10,11.965
2020,11,9.569
2020,12,8.288
2021,1,8.219
2021,2,7.557
2021,3,7.309
2021,4,7.376
2021,5,8.705
2021,6,10.714
2021,7,13.686
2021,8,14.353
2021,9,12.892
2021,10,10.31
2021,11,9.38
2021,12,8.574
2022,1,7.378
2022,2,7.654
2022,3,7.564
2022,4,7.573
2022,5,8.716
2022,6,10.604
2022,7,12.774
2022,8,14.903
2022,9,14.057
2022,10,12.366
2022,11,9.194
2022,12,7.413
2023,1,7.706
2023,2,7.971
2023,3,7.102
2023,4,7.072
2023,5,9.58
2023,6,11.697
2023,7,14.289
2023,8,14.571
2023,9,13.235
2023,10,11.392
2023,11,10.095
2023,12,9.521
2024,1,8.901
2024,2,8.844
2024,3,8.467
2024,4,8.908
2024,5,9.937
2024,6,11.032
2024,7,13.645
2024,8,14.744
2024,9,13.832
2024,10,11.089
2024,11,9.632
2024,12,8.99
2025,1,7.848
2025,2,7.618
2025,3,7.281
2025,4,7.631
2025,5,8.814
2025,6,10.655
2025,7,12.43
2025,8,13.769
