year,month,sst
2012,1,12.897
2012,2,12.099
2012,3,11.317
2012,4,11.825
2012,5,12.007
2012,6,12.008
2012,7,13.109
2012,8,13.585
2012,9,14.727
2012,10,16.186
2012,11,14.912
2012,12,14.09
2013,1,12.521
2013,2,12.105
2013,3,11.731
2013,4,11.809
2013,5,12.281
2013,6,12.821
2013,7,14.881
2013,8,14.947
2013,9,14.103
2013,10,14.185
2013,11,13.453
2013,12,13.223
2014,1,13.79
2014,2,12.822
2014,3,13.59
2014,4,12.704
2014,5,11.832
2014,6,13.871
2014,7,16.324
2014,8,17.575
2014,9,17.18
2014,10,17.478
2014,11,16.359
2014,12,16.157
2015,1,14.975
2015,2,15.105
2015,3,14.418
2015,4,11.912
2015,5,12.922
2015,6,14.624
2015,7,16.391
2015,8,18.036
2015,9,18.449
2015,10,18.379
2015,11,15.863
2015,12,15.144
2016,1,13.729
2016,2,13.967
2016,3,13.85
2016,4,13.066
2016,5,13.629
2016,6,14.025
2016,7,13.354
2016,8,14.765
2016,9,15.148
2016,10,14.8
2016,11,15.098
2016,12,13.357
2017,1,12.692
2017,2,13.114
2017,3,12.848
2017,4,13.106
2017,5,12.138
2017,6,12.654
2017,7,14.123
2017,8,15.148
2017,9,16.413
2017,10,14.683
2017,11,15.353
2017,12,14.462
2018,1,13.737
2018,2,13.144
2018,3,12.987
2018,4,12.563
2018,5,12.886
2018,6,12.557
2018,7,14.623
2018,8,15.291
2018,9,14.82
2018,10,16.521
2018,11,16.316
2018,12,14.646
2019,1,13.712
2019,2,13.473
2019,3,13.243
2019,4,13.803
2019,5,13.961
2019,6,14.109
2019,7,13.857
2019,8,15.042
2019,9,15.576
2019,10,13.876
2019,11,15.064
2019,12,14.195
2020,1,13.083
2020,2,13.202
2020,3,13.798
2020,4,12.781
2020,5,12.898
2020,6,13.98
2020,7,14.797
2020,8,15.381
2020,9,16.299
2020,10,16.36
2020,11,14.883
2020,12,13.038
2021,1,12.821
2021,2,12.61
2021,3,11.986
2021,4,12.268
2021,5,12.456
2021,6,13.558
2021,7,14.873
2021,8,16.027
2021,9,16.772
2021,10,14.912
2021,11,14.489
2021,12,13.29
2022,1,13.179
2022,2,13.017
2022,3,11.641
2022,4,10.921
2022,5,10.885
2022,6,12.144
2022,7,13.557
2022,8,13.966
2022,9,14.953
2022,10,14.248
2022,11,12.626
2022,12,13.02
2023,1,13.088
2023,2,12.171
2023,3,11.547
2023,4,10.4
2023,5,12.016
2023,6,13.392
2023,7,13.299
2023,8,14.961
2023,9,15.335
2023,10,14.878
2023,11,15.165
2023,12,14.852
2024,1,13.783
2024,2,13.829
2024,3,13.148
2024,4,12.133
2024,5,11.331
2024,6,11.985
2024,7,13.715
2024,8,13.263
2024,9,14.111
2024,10,14.608
2024,11,12.621
2024,12,13.567
2025,1,12.843
2025,2,12.596
2025,3,12.155
2025,4,11.783
2025,5,11.982
2025,6,12.514
2025,7,13.814
2025,8,14.746
2025,9,14.863
2025,10,14.789
2025,11,14.08
2025,12,13.248
2026,1,12.843
2026,2,12.596
2026,3,12.155
2026,4,11.783
2026,5,11.982
2026,6,12.514
2026,7,13.814
2026,8,14.746
2026,9,14.863
2026,10,14.789
2026,11,14.08
2026,12,13.248
2027,1,12.843
2027,2,12.596
2027,3,12.155
2027,4,11.783
2027,5,11.982
2027,6,12.514
2027,7,13.814
2027,8,14.746
2027,9,14.863
2027,10,14.789
2027,11,14.08
2027,12,13.248
2028,1,12.843
2028,2,12.596
2028,3,12.155
2028,4,11.783
2028,5,11.982
2028,6,12.514
2028,7,13.814
2028,8,14.746
2028,9,14.863
2028,10,14.789
2028,11,14.08
2028,12,13.248
2029,1,12.843
2029,2,12.596
2029,3,12.155
2029,4,11.783
2029,5,11.982
2029,6,12.514
2029,7,13.814
2029,8,14.746
2029,9,14.863
2029,10,14.789
2029,11,14.08
2029,12,13.248
2030,1,13.08
2030,2,12.652
2030,3,12.513
2030,4,12.013
2030,5,11.944
2030,6,12.853
2030,7,15.102
2030,8,16.391
2030,9,16.656
2030,10,16.584
2030,11,14.971
2030,12,14.196
2031,1,13.909
2031,2,13.85
2031,3,13.286
2031,4,11.847
2031,5,12.452
2031,6,13.569
2031,7,13.699
2031,8,14.75
2031,9,14.934
2031,10,14.792
2031,11,14.334
2031,12,13.275
2032,1,12.843
2032,2,12.596
2032,3,12.155
2032,4,11.783
2032,5,11.982
2032,6,12.514
2032,7,13.814
2032,8,14.746
2032,9,14.863
2032,10,14.789
2032,11,14.08
2032,12,13.248
2033,1,12.843
2033,2,12.596
2033,3,12.155
2033,4,11.783
2033,5,11.982
2033,6,12.514
2033,7,13.814
2033,8,14.746
2033,9,14.863
2033,10,14.789
2033,11,14.08
2033,12,13.248
2034,1,12.843
2034,2,12.596
2034,3,12.155
2034,4,11.783
2034,5,11.982
2034,6,12.514
2034,7,13.814
2034,8,14.746
2034,9,14.863
2034,10,14.789
2034,11,14.08
2034,12,13.248
2035,1,12.843
2035,2,12.596
2035,3,12.155
2035,4,11.783
2035,5,11.982
2035,6,12.514
2035,7,13.814
2035,8,14.746
2035,9,14.863
2035,10,14.789
2035,11,14.08
2035,12,13.248
2036,1,12.843
2036,2,12.596
2036,3,12.155
2036,4,11.783
2036,5,11.982
2036,6,12.514
2036,7,13.814
2036,8,14.746
2036,9,14.863
2036,10,14.789
2036,11,14.08
2036,12,13.248
2037,1,12.843
2037,2,12.596
2037,3,12.155
2037,4,11.783
2037,5,11.982
2037,6,12.514
2037,7,13.814
2037,8,14.746
2037,9,14.863
2037,10,14.789
2037,11,14.08
2037,12,13.248
2038,1,12.843
2038,2,12.596
2038,3,12.155
2038,4,11.783
2038,5,11.982
2038,6,12.514
2038,7,13.814
2038,8,14.746
2038,9,14.863
2038,10,14.789
2038,11,14.08
2038,12,13.248
2039,1,12.843
2039,2,12.596
2039,3,12.155
2039,4,11.783
2039,5,11.982
2039,6,12.514
2039,7,13.814
2039,8,14.746
2039,9,14.863
2039,10,14.789
2039,11,14.08
2039,12,13.248
2040,1,12.843
2040,2,12.596
2040,3,12.155
2040,4,11.783
2040,5,11.982
2040,6,12.514
2040,7,13.814
2040,8,14.746
2040,9,14.863
2040,10,14.789
2040,11,14.08
2040,12,13.248
2041,1,12.843
2041,2,12.596
2041,3,12.155
2041,4,11.783
2041,5,11.982
2041,6,12.514
2041,7,13.814
2041,8,14.746
2041,9,14.863
2041,10,14.789
2041,11,14.08
2041,12,13.248
2042,1,12.843
2042,2,12.596
