year,month,sst
2012,1,10.828
2012,2,10.424
2012,3,9.506
2012,4,10.922
2012,5,9.871
2012,6,11.059
2012,7,10.556
2012,8,10.432
2012,9,11.595
2012,10,13.649
2012,11,13.547
2012,12,12.386
2013,1,10.935
2013,2,10.4
2013,3,9.81
2013,4,10.146
2013,5,10.84
2013,6,11.355
2013,7,11.24
2013,8,12.138
2013,9,12.864
2013,10,10.254
2013,11,12.171
2013,12,10.567
2014,1,11.217
2014,2,11.458
2014,3,11.823
2014,4,11.619
2014,5,10.781
2014,6,11.472
2014,7,12.856
2014,8,13.592
2014,9,15.816
2014,10,15.15
2014,11,15.894
2014,12,15.204
2015,1,13.267
2015,2,13.265
2015,3,12.626
2015,4,10.867
2015,5,10.744
2015,6,11.46
2015,7,14.253
2015,8,15.416
2015,9,13.596
2015,10,15.368
2015,11,13.041
2015,12,12.726
2016,1,12.601
2016,2,12.71
2016,3,12.795
2016,4,11.551
2016,5,11.624
2016,6,11.391
2016,7,11.021
2016,8,12.604
2016,9,12.36
2016,10,13.038
2016,11,14.452
2016,12,10.965
2017,1,10.965
2017,2,12.2
2017,3,12.256
2017,4,11.455
2017,5,10.563
2017,6,11.258
2017,7,11.445
2017,8,12.954
2017,9,13.987
2017,10,11.388
2017,11,12.942
2017,12,12.255
2018,1,12.895
2018,2,11.144
2018,3,10.917
2018,4,11.196
2018,5,11.059
2018,6,11.787
2018,7,13.24
2018,8,11.671
2018,9,12.565
2018,10,13.811
2018,11,12.687
2018,12,13.025
2019,1,12.46
2019,2,12.428
2019,3,12.143
2019,4,11.614
2019,5,12.245
2019,6,11.158
2019,7,11.552
2019,8,12.001
2019,9,13.512
2019,10,13.317
2019,11,12.038
2019,12,12.243
2020,1,11.643
2020,2,11.278
2020,3,11.424
2020,4,11.386
2020,5,11.515
2020,6,11.59
2020,7,10.717
2020,8,12.235
2020,9,14.179
2020,10,14.826
2020,11,11.92
2020,12,11.155
2021,1,11.082
2021,2,10.71
2021,3,9.673
2021,4,9.997
2021,5,10.381
2021,6,11.632
2021,7,11.905
2021,8,13.015
2021,9,13.15
2021,10,12.656
2021,11,14.0
2021,12,11.739
2022,1,11.493
2022,2,11.107
2022,3,10.323
2022,4,9.522
2022,5,9.56
2022,6,10.806
2022,7,11.795
2022,8,12.701
2022,9,12.342
2022,10,12.23
2022,11,11.226
2022,12,11.572
2023,1,11.996
2023,2,10.446
2023,3,9.933
2023,4,9.719
2023,5,11.058
2023,6,11.234
2023,7,11.341
2023,8,13.59
2023,9,13.133
2023,10,13.36
2023,11,13.545
2023,12,13.495
2024,1,12.692
2024,2,12.917
2024,3,12.085
2024,4,10.837
2024,5,9.926
2024,6,9.856
2024,7,12.158
2024,8,12.232
2024,9,12.382
2024,10,11.984
2024,11,12.332
2024,12,12.555
2025,1,11.377
2025,2,11.164
2025,3,10.921
2025,4,10.652
2025,5,10.616
2025,6,10.685
2025,7,11.368
2025,8,11.876
2025,9,12.403
2025,10,12.557
2025,11,12.352
2025,12,11.682
2026,1,11.377
2026,2,11.164
2026,3,10.921
2026,4,10.652
2026,5,10.616
2026,6,10.685
2026,7,11.368
2026,8,11.876
2026,9,12.403
2026,10,12.557
2026,11,12.352
2026,12,11.682
2027,1,11.377
2027,2,11.164
2027,3,10.921
2027,4,10.652
2027,5,10.616
2027,6,10.685
2027,7,11.368
2027,8,11.876
2027,9,12.403
2027,10,12.557
2027,11,12.352
2027,12,11.682
2028,1,11.377
2028,2,11.164
2028,3,10.921
2028,4,10.652
2028,5,10.616
2028,6,10.685
2028,7,11.368
2028,8,11.876
2028,9,12.403
2028,10,12.557
2028,11,12.352
2028,12,11.682
2029,1,11.377
2029,2,11.164
2029,3,10.921
2029,4,10.652
2029,5,10.616
2029,6,10.685
2029,7,11.368
2029,8,11.876
2029,9,12.403
2029,10,12.557
2029,11,12.352
2029,12,11.682
2030,1,11.337
2030,2,11.237
2030,3,11.147
2030,4,10.893
2030,5,10.657
2030,6,10.882
2030,7,12.811
2030,8,13.646
2030,9,13.0
2030,10,13.962
2030,11,12.696
2030,12,12.204
2031,1,12.322
2031,2,12.214
2031,3,11.774
2031,4,10.759
2031,5,10.68
2031,6,11.073
2031,7,11.282
2031,8,12.058
2031,9,12.392
2031,10,12.677
2031,11,12.877
2031,12,11.503
2032,1,11.377
2032,2,11.164
2032,3,10.921
2032,4,10.652
2032,5,10.616
2032,6,10.685
2032,7,11.368
2032,8,11.876
2032,9,12.403
2032,10,12.557
2032,11,12.352
2032,12,11.682
2033,1,11.377
2033,2,11.164
2033,3,10.921
2033,4,10.652
2033,5,10.616
2033,6,10.685
2033,7,11.368
2033,8,11.876
2033,9,12.403
2033,10,12.557
2033,11,12.352
2033,12,11.682
2034,1,11.377
2034,2,11.164
2034,3,10.921
2034,4,10.652
2034,5,10.616
2034,6,10.685
2034,7,11.368
2034,8,11.876
2034,9,12.403
2034,10,12.557
2034,11,12.352
2034,12,11.682
2035,1,11.377
2035,2,11.164
2035,3,10.921
2035,4,10.652
2035,5,10.616
2035,6,10.685
2035,7,11.368
2035,8,11.876
2035,9,12.403
2035,10,12.557
2035,11,12.352
2035,12,11.682
2036,1,11.377
2036,2,11.164
2036,3,10.921
2036,4,10.652
2036,5,10.616
2036,6,10.685
2036,7,11.368
2036,8,11.876
2036,9,12.403
2036,10,12.557
2036,11,12.352
2036,12,11.682
2037,1,11.377
2037,2,11.164
2037,3,10.921
2037,4,10.652
2037,5,10.616
2037,6,10.685
2037,7,11.368
2037,8,11.876
2037,9,12.403
2037,10,12.557
2037,11,12.352
2037,12,11.682
2038,1,11.377
2038,2,11.164
2038,3,10.921
2038,4,10.652
2038,5,10.616
2038,6,10.685
2038,7,11.368
2038,8,11.876
2038,9,12.403
2038,10,12.557
2038,11,12.352
2038,12,11.682
2039,1,11.377
2039,2,11.164
2039,3,10.921
2039,4,10.652
2039,5,10.616
2039,6,10.685
2039,7,11.368
2039,8,11.876
2039,9,12.403
2039,10,12.557
2039,11,12.352
2039,12,11.682
2040,1,11.377
2040,2,11.164
2040,3,10.921
2040,4,10.652
2040,5,10.616
2040,6,10.685
2040,7,11.368
2040,8,11.876
2040,9,12.403
2040,10,12.557
2040,11,12.352
2040,12,11.682
2041,1,11.377
2041,2,11.164
2041,3,10.921
2041,4,10.652
2041,5,10.616
2041,6,10.685
2041,7,11.368
2041,8,11.876
2041,9,12.403
2041,10,12.557
2041,11,12.352
2041,12,11.682
2042,1,11.377
2042,2,11.164
2042,3,10.921
2042,4,10.652
2042,5,10.616
2042,6,10.685
2042,7,11.368
2042,8,11.876
2042,9,12.403
2042,10,12.557
2042,11,12.352
2042,12,11.682
2043,1,11.377
2043,2,11.164
2043,3,10.921
2043,4,10.652
2043,5,10.616
2043,6,10.685
2043,7,11.368
2043,8,11.876
2043,9,12.403
2043,10,12.557
2043,11,12.352
2043,12,11.682
2044,1,11.377
2044,2,11.164
2044,3,10.921
2044,4,10.652
2044,5,10.616
2044,6,10.685
2044,7,11.368
2044,8,11.876
2044,9,12.403
2044,10,12.557
2044,11,12.352
2044,12,11.682
2045,1,11.377
2045,2,11.164
2045,3,10.921
2045,4,10.652
2045,5,10.616
2045,6,10.685
2045,7,11.368
2045,8,11.876
2045,9,12.403
2045,10,12.557
2045,11,12.352
2045,12,11.682
2046,1,11.377
2046,2,11.164
2046,3,10.921
2046,4,10.652
2046,5,10.616
2046,6,10.685
2046,7,11.368
2046,8,11.876
2046,9,12.403
2046,10,12.557
2046,11,12.352
2046,12,11.682
2047,1,11.377
2047,2,11.164
2047,3,10.921
2047,4,10.652
2047,5,10.616
2047,6,10.685
2047,7,11.368
2047,8,11.876
2047,9,12.403
2047,10,12.557
2047,11,12.352
2047,12,11.682
2048,1,11.377
2048,2,11.164
2048,3,10.921
2048,4,10.652
2048,5,10.616
2048,6,10.685
2048,7,11.368
2048,8,11.876
2048,9,12.403
2048,10,12.557
2048,11,12.352
2048,12,11.682
2049,1,11.377
2049,2,11.164
2049,3,10.921
2049,4,10.652
2049,5,10.616
2049,6,10.685
2049,7,11.368
2049,8,11.876
2049,9,12.403
2049,10,12.557
2049,11,12.352
2049,12,11.682
2050,1,11.377
2050,2,11.164
2050,3,10.921
2050,4,10.652
2050,5,10.616
2050,6,10.685
2050,7,11.368
2050,8,11.876
2050,9,12.403
2050,10,12.557
2050,11,12.352
2050,12,11.682
