year,month,sst
2012,1,13.748
2012,2,12.949
2012,3,11.869
2012,4,12.265
2012,5,12.678
2012,6,14.178
2012,7,14.494
2012,8,16.117
2012,9,16.625
2012,10,17.796
2012,11,15.74
2012,12,14.434
2013,1,12.645
2013,2,12.455
2013,3,12.573
2013,4,12.575
2013,5,13.509
2013,6,14.588
2013,7,15.813
2013,8,15.322
2013,9,15.785
2013,10,16.199
2013,11,15.844
2013,12,14.286
2014,1,14.688
2014,2,13.531
2014,3,14.069
2014,4,13.225
2014,5,13.784
2014,6,15.258
2014,7,18.346
2014,8,17.823
2014,9,18.317
2014,10,19.095
2014,11,17.757
2014,12,16.828
2015,1,15.805
2015,2,15.817
2015,3,15.273
2015,4,13.861
2015,5,13.779
2015,6,14.786
2015,7,17.655
2015,8,18.445
2015,9,20.771
2015,10,20.149
2015,11,17.112
2015,12,16.27
2016,1,14.426
2016,2,14.713
2016,3,14.423
2016,4,13.558
2016,5,14.005
2016,6,14.32
2016,7,16.549
2016,8,16.993
2016,9,17.363
2016,10,16.53
2016,11,16.116
2016,12,13.939
2017,1,13.674
2017,2,13.748
2017,3,13.468
2017,4,12.485
2017,5,13.055
2017,6,14.233
2017,7,16.461
2017,8,17.223
2017,9,17.857
2017,10,16.753
2017,11,16.15
2017,12,14.866
2018,1,14.62
2018,2,13.975
2018,3,13.237
2018,4,12.387
2018,5,12.767
2018,6,14.452
2018,7,17.246
2018,8,18.607
2018,9,17.4
2018,10,18.05
2018,11,17.651
2018,12,15.316
2019,1,14.479
2019,2,13.951
2019,3,13.45
2019,4,13.438
2019,5,14.035
2019,6,15.183
2019,7,15.14
2019,8,15.755
2019,9,17.784
2019,10,16.376
2019,11,16.34
2019,12,14.717
2020,1,14.141
2020,2,14.466
2020,3,14.542
2020,4,13.57
2020,5,13.514
2020,6,14.77
2020,7,15.719
2020,8,16.666
2020,9,18.116
2020,10,18.217
2020,11,15.074
2020,12,14.12
2021,1,13.628
2021,2,12.792
2021,3,12.158
2021,4,12.1
2021,5,13.366
2021,6,15.065
2021,7,16.524
2021,8,16.524
2021,9,16.037
2021,10,15.991
2021,11,15.438
2021,12,14.3
2022,1,13.724
2022,2,13.842
2022,3,12.831
2022,4,12.328
2022,5,12.314
2022,6,14.857
2022,7,15.728
2022,8,16.247
2022,9,18.107
2022,10,16.992
2022,11,14.381
2022,12,14.546
2023,1,13.785
2023,2,12.781
2023,3,12.465
2023,4,11.694
2023,5,13.627
2023,6,15.396
2023,7,15.262
2023,8,17.564
2023,9,17.653
2023,10,16.74
2023,11,16.345
2023,12,15.905
2024,1,14.379
2024,2,14.415
2024,3,13.929
2024,4,12.991
2024,5,12.371
2024,6,13.866
2024,7,15.069
2024,8,15.626
2024,9,15.935
2024,10,16.509
2024,11,14.123
2024,12,13.691
2025,1,13.406
2025,2,13.207
2025,3,12.622
2025,4,12.355
2025,5,12.646
2025,6,13.926
2025,7,15.212
2025,8,15.863
2025,9,15.982
2025,10,15.87
2025,11,15.107
2025,12,14.032
2026,1,13.406
2026,2,13.207
2026,3,12.622
2026,4,12.355
2026,5,12.646
2026,6,13.926
2026,7,15.212
2026,8,15.863
2026,9,15.982
2026,10,15.87
2026,11,15.107
2026,12,14.032
2027,1,13.406
2027,2,13.207
2027,3,12.622
2027,4,12.355
2027,5,12.646
2027,6,13.926
2027,7,15.212
2027,8,15.863
2027,9,15.982
2027,10,15.87
2027,11,15.107
2027,12,14.032
2028,1,13.406
2028,2,13.207
2028,3,12.622
2028,4,12.355
2028,5,12.646
2028,6,13.926
2028,7,15.212
2028,8,15.863
2028,9,15.982
2028,10,15.87
2028,11,15.107
2028,12,14.032
2029,1,13.406
2029,2,13.207
2029,3,12.622
2029,4,12.355
2029,5,12.646
2029,6,13.926
2029,7,15.212
2029,8,15.863
2029,9,15.982
2029,10,15.87
2029,11,15.107
2029,12,14.032
2030,1,13.727
2030,2,13.288
2030,3,12.984
2030,4,12.573
2030,5,12.93
2030,6,14.259
2030,7,16.433
2030,8,17.154
2030,9,18.376
2030,10,18.009
2030,11,16.11
2030,12,15.151
2031,1,14.606
2031,2,14.512
2031,3,13.947
2031,4,13.108
2031,5,13.212
2031,6,14.356
2031,7,15.546
2031,8,16.146
2031,9,16.327
2031,10,16.035
2031,11,15.359
2031,12,14.009
2032,1,13.406
2032,2,13.207
2032,3,12.622
2032,4,12.355
2032,5,12.646
2032,6,13.926
2032,7,15.212
2032,8,15.863
2032,9,15.982
2032,10,15.87
2032,11,15.107
2032,12,14.032
2033,1,13.406
2033,2,13.207
2033,3,12.622
2033,4,12.355
2033,5,12.646
2033,6,13.926
2033,7,15.212
2033,8,15.863
2033,9,15.982
2033,10,15.87
2033,11,15.107
2033,12,14.032
2034,1,13.406
2034,2,13.207
2034,3,12.622
2034,4,12.355
2034,5,12.646
2034,6,13.926
2034,7,15.212
2034,8,15.863
2034,9,15.982
2034,10,15.87
2034,11,15.107
2034,12,14.032
2035,1,13.406
2035,2,13.207
2035,3,12.622
2035,4,12.355
2035,5,12.646
2035,6,13.926
2035,7,15.212
2035,8,15.863
2035,9,15.982
2035,10,15.87
2035,11,15.107
2035,12,14.032
2036,1,13.406
2036,2,13.207
2036,3,12.622
2036,4,12.355
2036,5,12.646
2036,6,13.926
2036,7,15.212
2036,8,15.863
2036,9,15.982
2036,10,15.87
2036,11,15.107
2036,12,14.032
2037,1,13.406
2037,2,13.207
2037,3,12.622
2037,4,12.355
2037,5,12.646
2037,6,13.926
2037,7,15.212
2037,8,15.863
2037,9,15.982
2037,10,15.87
2037,11,15.107
2037,12,14.032
2038,1,13.406
2038,2,13.207
2038,3,12.622
2038,4,12.355
2038,5,12.646
2038,6,13.926
2038,7,15.212
2038,8,15.863
2038,9,15.982
2038,10,15.87
2038,11,15.107
2038,12,14.032
2039,1,13.406
2039,2,13.207
2039,3,12.622
2039,4,12.355
2039,5,12.646
2039,6,13.926
2039,7,15.212
2039,8,15.863
2039,9,15.982
2039,10,15.87
2039,11,15.107
2039,12,14.032
2040,1,13.406
2040,2,13.207
2040,3,12.622
2040,4,12.355
2040,5,12.646
2040,6,13.926
2040,7,15.212
2040,8,15.863
2040,9,15.982
2040,10,15.87
2040,11,15.107
2040,12,14.032
2041,1,13.406
2041,2,13.207
2041,3,12.622
2041,4,12.355
2041,5,12.646
2041,6,13.926
2041,7,15.212
2041,8,15.863
2041,9,15.982
2041,10,15.87
2041,11,15.107
2041,12,14.032
2042,1,13.406
2042,2,13.207
2042,3,12.622
2042,4,12.355
2042,5,12.646
2042,6,13.926
2042,7,15.212
2042,8,15.863
2042,9,15.982
2042,10,15.87
2042,11,15.107
2042,12,14.032
2043,1,13.406
2043,2,13.207
2043,3,12.622
2043,4,12.355
2043,5,12.646
2043,6,13.926
2043,7,15.212
2043,8,15.863
2043,9,15.982
2043,10,15.87
2043,11,15.107
2043,12,14.032
2044,1,13.406
2044,2,13.207
2044,3,12.622
2044,4,12.355
2044,5,12.646
2044,6,13.926
2044,7,15.212
2044,8,15.863
2044,9,15.982
2044,10,15.87
2044,11,15.107
2044,12,14.032
2045,1,13.406
2045,2,13.207
2045,3,12.622
2045,4,12.355
2045,5,12.646
2045,6,13.926
2045,7,15.212
2045,8,15.863
2045,9,15.982
2045,10,15.87
2045,11,15.107
2045,12,14.032
2046,1,13.406
2046,2,13.207
2046,3,12.622
2046,4,12.355
2046,5,12.646
2046,6,13.926
2046,7,15.212
2046,8,15.863
2046,9,15.982
2046,10,15.87
2046,11,15.107
2046,12,14.032
2047,1,13.406
2047,2,13.207
2047,3,12.622
2047,4,12.355
2047,5,12.646
2047,6,13.926
2047,7,15.212
2047,8,15.863
2047,9,15.982
2047,10,15.87
2047,11,15.107
2047,12,14.032
2048,1,13.406
2048,2,13.207
2048,3,12.622
2048,4,12.355
2048,5,12.646
2048,6,13.926
2048,7,15.212
2048,8,15.863
2048,9,15.982
2048,10,15.87
2048,11,15.107
2048,12,14.032
2049,1,13.406
2049,2,13.207
2049,3,12.622
2049,4,12.355
2049,5,12.646
2049,6,13.926
2049,7,15.212
2049,8,15.863
2049,9,15.982
2049,10,15.87
2049,11,15.107
2049,12,14.032
2050,1,13.406
2050,2,13.207
2050,3,12.622
2050,4,12.355
2050,5,12.646
2050,6,13.926
2050,7,15.212
2050,8,15.863
2050,9,15.982
2050,10,15.87
2050,11,15.107
2050,12,14.032
