year,month,sst
2012,1,7.472
2012,2,7.303
2012,3,7.417
2012,4,8.527
2012,5,9.486
2012,6,9.877
2012,7,11.084
2012,8,11.796
2012,9,11.446
2012,10,9.748
2012,11,9.198
2012,12,8.725
2013,1,7.852
2013,2,7.624
2013,3,7.772
2013,4,8.433
2013,5,9.567
2013,6,10.418
2013,7,11.806
2013,8,11.327
2013,9,11.081
2013,10,10.435
2013,11,8.949
2013,12,7.815
2014,1,7.565
2014,2,7.126
2014,3,8.011
2014,4,8.945
2014,5,10.357
2014,6,10.907
2014,7,11.39
2014,8,12.163
2014,9,11.845
2014,10,10.894
2014,11,10.286
2014,12,9.092
2015,1,8.7
2015,2,9.106
2015,3,9.066
2015,4,9.768
2015,5,10.502
2015,6,11.737
2015,7,12.122
2015,8,12.525
2015,9,11.817
2015,10,10.845
2015,11,9.954
2015,12,9.162
2016,1,8.631
2016,2,8.876
2016,3,9.227
2016,4,10.136
2016,5,10.974
2016,6,11.147
2016,7,12.046
2016,8,12.789
2016,9,11.688
2016,10,10.549
2016,11,10.511
2016,12,8.928
2017,1,7.735
2017,2,7.617
2017,3,8.004
2017,4,9.052
2017,5,10.188
2017,6,11.075
2017,7,11.86
2017,8,12.26
2017,9,12.032
2017,10,10.494
2017,11,9.327
2017,12,8.559
2018,1,8.158
2018,2,7.897
2018,3,8.048
2018,4,8.906
2018,5,10.44
2018,6,11.129
2018,7,12.247
2018,8,12.309
2018,9,11.594
2018,10,10.415
2018,11,9.461
2018,12,8.813
2019,1,8.492
2019,2,7.839
2019,3,8.212
2019,4,9.217
2019,5,10.437
2019,6,11.22
2019,7,11.908
2019,8,12.295
2019,9,11.549
2019,10,10.19
2019,11,9.241
2019,12,8.477
2020,1,8.181
2020,2,8.048
2020,3,7.956
2020,4,8.959
2020,5,10.082
2020,6,10.548
2020,7,11.377
2020,8,11.553
2020,9,11.12
2020,10,10.245
2020,11,9.125
2020,12,8.53
2021,1,8.241
2021,2,7.844
2021,3,8.004
2021,4,8.701
2021,5,9.5
2021,6,10.831
2021,7,11.467
2021,8,11.995
2021,9,11.971
2021,10,10.225
2021,11,9.403
2021,12,8.624
2022,1,7.59
2022,2,7.654
2022,3,8.087
2022,4,8.481
2022,5,9.609
2022,6,10.593
2022,7,11.575
2022,8,12.389
2022,9,11.506
2022,10,10.361
2022,11,8.904
2022,12,8.099
2023,1,7.973
2023,2,7.874
2023,3,7.649
2023,4,8.424
2023,5,10.132
2023,6,10.559
2023,7,11.196
2023,8,12.248
2023,9,11.186
2023,10,10.571
2023,11,9.93
2023,12,9.411
2024,1,8.872
2024,2,8.695
2024,3,8.763
2024,4,9.39
2024,5,9.905
2024,6,10.368
2024,7,11.434
2024,8,11.564
2024,9,11.301
2024,10,9.9
2024,11,9.349
2024,12,8.924
2025,1,7.788
2025,2,7.817
2025,3,8.001
2025,4,8.747
2025,5,9.793
2025,6,10.905
2025,7,11.754
2025,8,11.968
2025,9,11.251
2025,10,10.058
2025,11,9.118
2025,12,8.369
2026,1,7.788
2026,2,7.817
2026,3,8.001
2026,4,8.747
2026,5,9.793
2026,6,10.905
2026,7,11.754
2026,8,11.968
2026,9,11.251
2026,10,10.058
2026,11,9.118
2026,12,8.369
2027,1,7.788
2027,2,7.817
2027,3,8.001
2027,4,8.747
2027,5,9.793
2027,6,10.905
2027,7,11.754
2027,8,11.968
2027,9,11.251
2027,10,10.058
2027,11,9.118
2027,12,8.369
2028,1,7.788
2028,2,7.817
2028,3,8.001
2028,4,8.747
2028,5,9.793
2028,6,10.905
2028,7,11.754
2028,8,11.968
2028,9,11.251
2028,10,10.058
2028,11,9.118
2028,12,8.369
2029,1,7.788
2029,2,7.817
2029,3,8.001
2029,4,8.747
2029,5,9.793
2029,6,10.905
2029,7,11.754
2029,8,11.968
2029,9,11.251
2029,10,10.058
2029,11,9.118
2029,12,8.369
2030,1,7.732
2030,2,7.644
2030,3,8.003
2030,4,8.797
2030,5,9.934
2030,6,10.905
2030,7,11.938
2030,8,12.247
2030,9,11.534
2030,10,10.451
2030,11,9.536
2030,12,8.766
2031,1,8.244
2031,2,8.462
2031,3,8.533
2031,4,9.258
2031,5,10.147
2031,6,11.321
2031,7,11.827
2031,8,12.174
2031,9,11.36
2031,10,10.181
2031,11,9.466
2031,12,8.509
2032,1,7.788
2032,2,7.817
2032,3,8.001
2032,4,8.747
2032,5,9.793
2032,6,10.905
2032,7,11.754
2032,8,11.968
2032,9,11.251
2032,10,10.058
2032,11,9.118
2032,12,8.369
2033,1,7.788
2033,2,7.817
2033,3,8.001
2033,4,8.747
2033,5,9.793
2033,6,10.905
2033,7,11.754
2033,8,11.968
2033,9,11.251
2033,10,10.058
2033,11,9.118
2033,12,8.369
2034,1,7.788
2034,2,7.817
2034,3,8.001
2034,4,8.747
2034,5,9.793
2034,6,10.905
2034,7,11.754
2034,8,11.968
2034,9,11.251
2034,10,10.058
2034,11,9.118
2034,12,8.369
2035,1,7.788
2035,2,7.817
2035,3,8.001
2035,4,8.747
2035,5,9.793
2035,6,10.905
2035,7,11.754
2035,8,11.968
2035,9,11.251
2035,10,10.058
2035,11,9.118
2035,12,8.369
2036,1,7.788
2036,2,7.817
2036,3,8.001
2036,4,8.747
2036,5,9.793
2036,6,10.905
2036,7,11.754
2036,8,11.968
2036,9,11.251
2036,10,10.058
2036,11,9.118
2036,12,8.369
2037,1,7.788
2037,2,7.817
2037,3,8.001
2037,4,8.747
2037,5,9.793
2037,6,10.905
2037,7,11.754
2037,8,11.968
2037,9,11.251
2037,10,10.058
2037,11,9.118
2037,12,8.369
2038,1,7.788
2038,2,7.817
2038,3,8.001
2038,4,8.747
2038,5,9.793
2038,6,10.905
2038,7,11.754
2038,8,11.968
2038,9,11.251
2038,10,10.058
2038,11,9.118
2038,12,8.369
2039,1,7.788
2039,2,7.817
2039,3,8.001
2039,4,8.747
2039,5,9.793
2039,6,10.905
2039,7,11.754
2039,8,11.968
2039,9,11.251
2039,10,10.058
2039,11,9.118
2039,12,8.369
2040,1,7.788
2040,2,7.817
2040,3,8.001
2040,4,8.747
2040,5,9.793
2040,6,10.905
2040,7,11.754
2040,8,11.968
2040,9,11.251
2040,10,10.058
2040,11,9.118
2040,12,8.369
2041,1,7.788
2041,2,7.817
2041,3,8.001
2041,4,8.747
2041,5,9.793
2041,6,10.905
2041,7,11.754
2041,8,11.968
2041,9,11.251
2041,10,10.058
2041,11,9.118
2041,12,8.369
2042,1,7.788
2042,2,7.817
2042,3,8.001
2042,4,8.747
2042,5,9.793
2042,6,10.905
2042,7,11.754
2042,8,11.968
2042,9,11.251
2042,10,10.058
2042,11,9.118
2042,12,8.369
2043,1,7.788
2043,2,7.817
2043,3,8.001
2043,4,8.747
2043,5,9.793
2043,6,10.905
2043,7,11.754
2043,8,11.968
2043,9,11.251
2043,10,10.058
2043,11,9.118
2043,12,8.369
2044,1,7.788
2044,2,7.817
2044,3,8.001
2044,4,8.747
2044,5,9.793
2044,6,10.905
2044,7,11.754
2044,8,11.968
2044,9,11.251
2044,10,10.058
2044,11,9.118
2044,12,8.369
2045,1,7.788
