year,month,sst
2012,1,9.353
2012,2,9.274
2012,3,9.015
2012,4,10.513
2012,5,10.895
2012,6,12.87
2012,7,13.203
2012,8,11.943
2012,9,10.945
2012,10,11.347
2012,11,12.456
2012,12,11.541
2013,1,9.961
2013,2,9.267
2013,3,9.605
2013,4,10.112
2013,5,10.961
2013,6,12.711
2013,7,10.767
2013,8,11.534
2013,9,14.607
2013,10,12.179
2013,11,11.032
2013,12,8.891
2014,1,9.345
2014,2,9.87
2014,3,10.979
2014,4,11.12
2014,5,13.228
2014,6,11.867
2014,7,12.155
2014,8,12.61
2014,9,13.78
2014,10,15.18
2014,11,14.283
2014,12,14.09
2015,1,12.603
2015,2,12.273
2015,3,12.131
2015,4,11.991
2015,5,11.143
2015,6,10.818
2015,7,13.597
2015,8,13.773
2015,9,14.5
2015,10,13.354
2015,11,12.841
2015,12,12.154
2016,1,11.149
2016,2,11.408
2016,3,11.745
2016,4,12.594
2016,5,12.365
2016,6,12.857
2016,7,12.65
2016,8,11.196
2016,9,12.973
2016,10,12.66
2016,11,14.317
2016,12,11.757
2017,1,10.097
2017,2,10.589
2017,3,10.612
2017,4,11.085
2017,5,11.775
2017,6,12.653
2017,7,11.145
2017,8,11.546
2017,9,12.141
2017,10,12.426
2017,11,11.703
2017,12,11.207
2018,1,11.247
2018,2,10.434
2018,3,9.996
2018,4,10.887
2018,5,11.947
2018,6,13.164
2018,7,11.42
2018,8,12.657
2018,9,12.251
2018,10,12.206
2018,11,11.818
2018,12,11.592
2019,1,11.308
2019,2,10.989
2019,3,10.445
2019,4,11.562
2019,5,11.408
2019,6,11.48
2019,7,15.159
2019,8,15.531
2019,9,16.882
2019,10,13.247
2019,11,10.15
2019,12,10.975
2020,1,10.734
2020,2,10.249
2020,3,9.587
2020,4,10.63
2020,5,12.729
2020,6,12.027
2020,7,11.423
2020,8,11.567
2020,9,12.714
2020,10,14.051
2020,11,12.479
2020,12,10.463
2021,1,10.376
2021,2,10.532
2021,3,9.574
2021,4,9.634
2021,5,10.429
2021,6,12.898
2021,7,11.148
2021,8,11.745
2021,9,11.975
2021,10,12.741
2021,11,12.153
2021,12,11.057
2022,1,10.158
2022,2,9.818
2022,3,9.915
2022,4,10.436
2022,5,11.355
2022,6,12.64
2022,7,11.883
2022,8,13.035
2022,9,12.142
2022,10,11.732
2022,11,10.79
2022,12,10.264
2023,1,10.572
2023,2,9.789
2023,3,9.133
2023,4,9.848
2023,5,11.265
2023,6,10.146
2023,7,11.48
2023,8,12.508
2023,9,12.365
2023,10,12.488
2023,11,12.254
2023,12,11.805
2024,1,11.544
2024,2,11.649
2024,3,11.487
2024,4,11.065
2024,5,10.836
2024,6,11.143
2024,7,10.342
2024,8,13.408
2024,9,12.644
2024,10,10.862
2024,11,11.485
2024,12,10.982
2025,1,10.129
2025,2,9.896
2025,3,9.949
2025,4,10.484
2025,5,11.526
2025,6,12.724
2025,7,12.523
2025,8,12.627
2025,9,12.441
2025,10,12.083
2025,11,11.637
2025,12,10.56
2026,1,10.129
2026,2,9.896
2026,3,9.949
2026,4,10.484
2026,5,11.526
2026,6,12.724
