year,month,sst
2012,1,7.071
2012,2,7.002
2012,3,7.285
2012,4,8.954
2012,5,11.494
2012,6,14.45
2012,7,17.822
2012,8,17.605
2012,9,14.278
2012,10,10.854
2012,11,8.992
2012,12,7.845
2013,1,6.693
2013,2,7.292
2013,3,8.036
2013,4,9.873
2013,5,13.088
2013,6,15.755
2013,7,16.479
2013,8,17.579
2013,9,15.788
2013,10,11.453
2013,11,9.077
2013,12,7.671
2014,1,7.392
2014,2,7.059
2014,3,7.682
2014,4,9.26
2014,5,14.063
2014,6,15.062
2014,7,17.496
2014,8,17.369
2014,9,15.788
2014,10,12.773
2014,11,9.857
2014,12,8.316
2015,1,7.612
2015,2,8.56
2015,3,9.076
2015,4,10.52
2015,5,14.725
2015,6,16.309
2015,7,16.564
2015,8,16.338
2015,9,14.005
2015,10,12.249
2015,11,9.987
2015,12,8.73
2016,1,7.578
2016,2,8.191
2016,3,8.795
2016,4,11.213
2016,5,14.211
2016,6,16.755
2016,7,17.29
2016,8,15.709
2016,9,14.868
2016,10,11.765
2016,11,10.342
2016,12,8.02
2017,1,7.478
2017,2,6.823
2017,3,7.596
2017,4,9.271
2017,5,12.958
2017,6,14.705
2017,7,17.841
2017,8,17.375
2017,9,15.687
2017,10,11.722
2017,11,9.163
2017,12,7.24
2018,1,7.386
2018,2,7.143
2018,3,7.862
2018,4,9.601
2018,5,14.761
2018,6,15.437
2018,7,16.398
2018,8,17.797
2018,9,14.302
2018,10,11.415
2018,11,9.686
2018,12,8.429
2019,1,7.736
2019,2,6.647
2019,3,7.861
2019,4,9.746
2019,5,13.025
2019,6,16.096
2019,7,18.254
2019,8,17.938
2019,9,15.202
2019,10,11.316
2019,11,9.746
2019,12,8.948
2020,1,8.394
2020,2,7.736
2020,3,8.034
2020,4,10.352
2020,5,14.175
2020,6,16.43
2020,7,18.446
2020,8,19.397
2020,9,16.95
2020,10,14.708
2020,11,11.118
2020,12,9.429
2021,1,8.428
2021,2,6.942
2021,3,8.212
2021,4,10.011
2021,5,13.381
2021,6,17.905
2021,7,18.999
2021,8,17.479
2021,9,14.527
2021,10,11.717
2021,11,8.699
2021,12,7.603
2022,1,6.793
2022,2,7.187
2022,3,8.421
2022,4,9.124
2022,5,11.325
2022,6,14.272
2022,7,17.381
2022,8,18.209
2022,9,15.261
2022,10,12.106
2022,11,8.517
2022,12,7.618
2023,1,7.515
2023,2,7.413
2023,3,7.708
2023,4,8.804
2023,5,14.279
2023,6,14.564
2023,7,16.689
2023,8,16.247
2023,9,13.866
2023,10,10.992
2023,11,9.273
2023,12,8.555
2024,1,7.866
2024,2,7.708
2024,3,8.348
2024,4,9.847
