year,month,sst
2012,1,6.248
2012,2,5.497
2012,3,5.611
2012,4,6.404
2012,5,7.188
2012,6,8.844
2012,7,11.477
2012,8,12.389
2012,9,12.04
2012,10,9.805
2012,11,7.822
2012,12,6.999
2013,1,6.904
2013,2,5.932
2013,3,5.788
2013,4,7.051
2013,5,8.147
2013,6,11.271
2013,7,13.145
2013,8,13.346
2013,9,12.135
2013,10,10.679
2013,11,9.144
2013,12,7.193
2014,1,7.05
2014,2,5.948
2014,3,5.812
2014,4,5.696
2014,5,7.44
2014,6,10.526
2014,7,12.275
2014,8,13.773
2014,9,12.828
2014,10,11.27
2014,11,9.894
2014,12,8.594
2015,1,7.959
2015,2,7.299
2015,3,7.46
2015,4,8.043
2015,5,9.888
2015,6,11.408
2015,7,12.533
2015,8,13.498
2015,9,12.017
2015,10,10.685
2015,11,9.518
2015,12,8.208
2016,1,7.087
2016,2,7.003
2016,3,7.226
2016,4,8.421
2016,5,10.768
2016,6,11.785
2016,7,13.15
2016,8,13.462
2016,9,12.708
2016,10,9.806
2016,11,9.441
2016,12,8.638
2017,1,7.161
2017,2,6.119
2017,3,6.116
2017,4,6.3
2017,5,8.29
2017,6,10.525
2017,7,12.387
2017,8,13.346
2017,9,12.524
2017,10,10.448
2017,11,7.416
2017,12,7.172
2018,1,6.327
2018,2,6.145
2018,3,6.015
2018,4,6.56
2018,5,8.998
2018,6,10.48
2018,7,12.379
2018,8,13.549
2018,9,12.312
2018,10,10.108
2018,11,9.551
2018,12,8.249
2019,1,7.395
2019,2,6.719
2019,3,6.732
2019,4,7.307
2019,5,8.992
2019,6,11.364
2019,7,12.942
2019,8,12.952
2019,9,11.853
2019,10,10.198
2019,11,8.951
2019,12,7.957
2020,1,6.409
2020,2,6.291
2020,3,6.255
2020,4,6.631
2020,5,8.365
2020,6,10.6
2020,7,12.613
2020,8,13.469
2020,9,12.666
2020,10,10.675
2020,11,8.71
2020,12,7.775
2021,1,7.221
2021,2,5.981
2021,3,5.814
2021,4,6.074
2021,5,7.865
2021,6,9.453
2021,7,12.286
2021,8,13.605
2021,9,12.35
2021,10,10.183
2021,11,8.543
2021,12,6.977
2022,1,5.691
