year,month,sst
2012,1,5.337
2012,2,5.05
2012,3,4.943
2012,4,6.413
2012,5,6.654
2012,6,9.199
2012,7,10.914
2012,8,13.083
2012,9,11.557
2012,10,9.758
2012,11,7.816
2012,12,6.437
2013,1,6.181
2013,2,5.943
2013,3,5.152
2013,4,5.521
2013,5,7.45
2013,6,11.533
2013,7,13.532
2013,8,14.509
2013,9,12.992
2013,10,11.158
2013,11,9.172
2013,12,6.948
2014,1,6.405
2014,2,5.432
2014,3,5.502
2014,4,5.658
2014,5,8.775
2014,6,10.85
2014,7,13.311
2014,8,13.954
2014,9,13.695
2014,10,10.895
2014,11,9.797
2014,12,8.367
2015,1,7.577
2015,2,6.418
2015,3,6.392
2015,4,7.1
2015,5,9.506
2015,6,11.955
2015,7,14.111
2015,8,14.564
2015,9,11.983
2015,10,10.667
2015,11,9.4
2015,12,7.866
2016,1,7.464
2016,2,6.702
2016,3,6.784
2016,4,7.565
2016,5,10.106
2016,6,12.764
2016,7,14.507
2016,8,14.723
2016,9,13.223
2016,10,10.887
2016,11,9.145
2016,12,8.141
2017,1,7.176
2017,2,6.092
2017,3,5.191
2017,4,6.132
2017,5,8.335
2017,6,11.074
2017,7,13.643
2017,8,15.208
2017,9,12.946
2017,10,10.751
2017,11,8.058
2017,12,7.082
2018,1,6.355
2018,2,5.586
2018,3,5.613
2018,4,6.049
2018,5,8.166
2018,6,11.179
2018,7,13.743
2018,8,13.366
2018,9,13.141
2018,10,11.107
2018,11,9.447
2018,12,8.972
2019,1,7.558
2019,2,6.633
2019,3,6.481
2019,4,7.042
2019,5,9.467
2019,6,12.419
2019,7,15.232
2019,8,14.764
2019,9,13.153
2019,10,10.625
2019,11,8.951
2019,12,8.241
2020,1,6.463
2020,2,5.627
2020,3,5.255
2020,4,5.655
2020,5,8.784
2020,6,11.799
2020,7,14.19
2020,8,13.846
2020,9,12.7
2020,10,10.681
2020,11,8.789
2020,12,7.251
2021,1,7.207
2021,2,5.69
2021,3,5.145
2021,4,6.173
2021,5,8.105
2021,6,10.843
2021,7,12.936
2021,8,14.408
2021,9,12.993
2021,10,10.488
2021,11,8.142
2021,12,6.791
2022,1,5.471
2022,2,4.812
2022,3,5.095
2022,4,6.022
2022,5,8.587
2022,6,12.263
2022,7,13.566
2022,8,13.796
2022,9,12.919
2022,10,11.105
2022,11,8.774
2022,12,6.841
2023,1,5.641
2023,2,5.09
2023,3,4.821
2023,4,5.678
2023,5,8.222
2023,6,10.625
2023,7,13.07
2023,8,14.451
2023,9,12.807
2023,10,10.746
2023,11,8.942
2023,12,7.889
2024,1,6.662
2024,2,5.861
2024,3,5.714
2024,4,6.66
2024,5,8.633
2024,6,10.965
2024,7,13.472
2024,8,14.076
2024,9,12.212
2024,10,10.226
2024,11,8.544
2024,12,7.323
2025,1,5.765
2025,2,5.221
2025,3,4.843
2025,4,5.736
2025,5,8.06
2025,6,10.987
2025,7,13.208
2025,8,13.627
2025,9,12.123
2025,10,10.004
2025,11,8.15
2025,12,6.951
2026,1,5.765
2026,2,5.221
2026,3,4.843
2026,4,5.736
2026,5,8.06
2026,6,10.987
2026,7,13.208
2026,8,13.627
2026,9,12.123
2026,10,10.004
2026,11,8.15
2026,12,6.951
2027,1,5.765
2027,2,5.221
2027,3,4.843
2027,4,5.736
2027,5,8.06
2027,6,10.987
2027,7,13.208
2027,8,13.627
2027,9,12.123
2027,10,10.004
2027,11,8.15
2027,12,6.951
2028,1,5.765
2028,2,5.221
2028,3,4.843
2028,4,5.736
2028,5,8.06
2028,6,10.987
2028,7,13.208
2028,8,13.627
2028,9,12.123
2028,10,10.004
2028,11,8.15
2028,12,6.951
2029,1,5.765
2029,2,5.221
2029,3,4.843
2029,4,5.736
2029,5,8.06
2029,6,10.987
2029,7,13.208
2029,8,13.627
2029,9,12.123
2029,10,10.004
2029,11,8.15
2029,12,6.951
2030,1,6.085
2030,2,5.327
2030,3,5.172
2030,4,5.697
2030,5,8.417
2030,6,10.919
2030,7,14.111
2030,8,14.564
2030,9,11.983
2030,10,10.667
2030,11,9.4
2030,12,7.866
2031,1,7.577
2031,2,6.418
2031,3,6.392
2031,4,7.1
2031,5,9.506
2031,6,11.955
2031,7,13.858
2031,8,14.175
2031,9,12.673
2031,10,10.445
2031,11,8.647
2031,12,7.546
2032,1,5.765
2032,2,5.221
2032,3,4.843
2032,4,5.736
2032,5,8.06
2032,6,10.987
2032,7,13.208
2032,8,13.627
2032,9,12.123
2032,10,10.004
2032,11,8.15
2032,12,6.951
2033,1,5.765
2033,2,5.221
2033,3,4.843
2033,4,5.736
2033,5,8.06
2033,6,10.987
2033,7,13.208
2033,8,13.627
2033,9,12.123
2033,10,10.004
2033,11,8.15
2033,12,6.951
2034,1,5.765
2034,2,5.221
2034,3,4.843
2034,4,5.736
2034,5,8.06
2034,6,10.987
2034,7,13.208
2034,8,13.627
2034,9,12.123
2034,10,10.004
2034,11,8.15
2034,12,6.951
2035,1,5.765
2035,2,5.221
2035,3,4.843
2035,4,5.736
2035,5,8.06
2035,6,10.987
2035,7,13.208
2035,8,13.627
2035,9,12.123
2035,10,10.004
2035,11,8.15
2035,12,6.951
2036,1,5.765
2036,2,5.221
2036,3,4.843
2036,4,5.736
2036,5,8.06
2036,6,10.987
2036,7,13.208
2036,8,13.627
2036,9,12.123
2036,10,10.004
2036,11,8.15
2036,12,6.951
2037,1,5.765
2037,2,5.221
2037,3,4.843
2037,4,5.736
2037,5,8.06
2037,6,10.987
2037,7,13.208
2037,8,13.627
2037,9,12.123
2037,10,10.004
2037,11,8.15
2037,12,6.951
2038,1,5.765
2038,2,5.221
2038,3,4.843
2038,4,5.736
2038,5,8.06
2038,6,10.987
2038,7,13.208
2038,8,13.627
2038,9,12.123
2038,10,10.004
2038,11,8.15
2038,12,6.951
2039,1,5.765
2039,2,5.221
2039,3,4.843
2039,4,5.736
2039,5,8.06
2039,6,10.987
2039,7,13.208
2039,8,13.627
2039,9,12.123
2039,10,10.004
2039,11,8.15
2039,12,6.951
2040,1,5.765
2040,2,5.221
2040,3,4.843
2040,4,5.736
2040,5,8.06
2040,6,10.987
2040,7,13.208
2040,8,13.627
2040,9,12.123
2040,10,10.004
2040,11,8.15
2040,12,6.951
2041,1,5.765
2041,2,5.221
2041,3,4.843
2041,4,5.736
2041,5,8.06
2041,6,10.987
2041,7,13.208
2041,8,13.627
2041,9,12.123
2041,10,10.004
2041,11,8.15
2041,12,6.951
2042,1,5.765
2042,2,5.221
2042,3,4.843
2042,4,5.736
2042,5,8.06
2042,6,10.987
2042,7,13.208
2042,8,13.627
2042,9,12.123
2042,10,10.004
2042,11,8.15
2042,12,6.951
2043,1,5.765
2043,2,5.221
2043,3,4.843
2043,4,5.736
2043,5,8.06
2043,6,10.987
2043,7,13.208
2043,8,13.627
2043,9,12.123
2043,10,10.004
2043,11,8.15
2043,12,6.951
2044,1,5.765
2044,2,5.221
2044,3,4.843
2044,4,5.736
2044,5,8.06
2044,6,10.987
2044,7,13.208
2044,8,13.627
2044,9,12.123
2044,10,10.004
2044,11,8.15
2044,12,6.951
2045,1,5.765
2045,2,5.221
2045,3,4.843
2045,4,5.736
2045,5,8.06
2045,6,10.987
2045,7,13.208
2045,8,13.627
2045,9,12.123
2045,10,10.004
2045,11,8.15
2045,12,6.951
2046,1,5.765
2046,2,5.221
2046,3,4.843
2046,4,5.736
2046,5,8.06
2046,6,10.987
2046,7,13.208
2046,8,13.627
2046,9,12.123
2046,10,10.004
2046,11,8.15
2046,12,6.951
2047,1,5.765
2047,2,5.221
2047,3,4.843
2047,4,5.736
2047,5,8.06
2047,6,10.987
2047,7,13.208
2047,8,13.627
2047,9,12.123
2047,10,10.004
2047,11,8.15
2047,12,6.951
2048,1,5.765
2048,2,5.221
2048,3,4.843
2048,4,5.736
2048,5,8.06
2048,6,10.987
2048,7,13.208
2048,8,13.627
2048,9,12.123
2048,10,10.004
2048,11,8.15
2048,12,6.951
2049,1,5.765
2049,2,5.221
2049,3,4.843
2049,4,5.736
2049,5,8.06
2049,6,10.987
2049,7,13.208
2049,8,13.627
2049,9,12.123
2049,10,10.004
2049,11,8.15
2049,12,6.951
2050,1,5.765
2050,2,5.221
2050,3,4.843
2050,4,5.736
2050,5,8.06
2050,6,10.987
2050,7,13.208
2050,8,13.627
2050,9,12.123
2050,10,10.004
2050,11,8.15
2050,12,6.951
