year,month,sst
2012,1,2.994
2012,2,2.168
2012,3,2.427
2012,4,3.564
2012,5,5.394
2012,6,8.127
2012,7,9.848
2012,8,10.434
2012,9,9.518
2012,10,7.877
2012,11,6.054
2012,12,4.232
2013,1,4.161
2013,2,3.911
2013,3,3.47
2013,4,3.974
2013,5,4.841
2013,6,8.146
2013,7,9.865
2013,8,11.143
2013,9,10.093
2013,10,8.143
2013,11,6.606
2013,12,5.011
2014,1,4.343
2014,2,3.804
2014,3,3.87
2014,4,4.361
2014,5,7.564
2014,6,9.12
2014,7,11.672
2014,8,13.743
2014,9,11.999
2014,10,9.22
2014,11,7.502
2014,12,6.309
2015,1,5.623
2015,2,5.681
2015,3,5.471
2015,4,5.478
2015,5,6.934
2015,6,9.982
2015,7,11.613
2015,8,12.413
2015,9,11.278
2015,10,9.497
2015,11,7.426
2015,12,5.595
2016,1,5.144
2016,2,5.288
2016,3,5.452
2016,4,6.193
2016,5,8.27
2016,6,10.265
2016,7,12.207
2016,8,13.421
2016,9,12.67
2016,10,10.295
2016,11,8.206
2016,12,6.353
2017,1,5.098
2017,2,4.097
2017,3,3.461
2017,4,4.305
2017,5,6.355
2017,6,9.276
2017,7,11.31
2017,8,12.404
2017,9,10.545
2017,10,8.736
2017,11,6.966
2017,12,5.249
2018,1,5.03
2018,2,4.244
2018,3,4.135
2018,4,4.625
2018,5,6.312
2018,6,8.654
2018,7,10.023
2018,8,11.125
2018,9,11.624
2018,10,10.236
2018,11,7.766
2018,12,5.673
2019,1,5.039
2019,2,4.998
2019,3,5.112
2019,4,5.565
2019,5,7.056
2019,6,9.555
2019,7,12.449
2019,8,13.344
2019,9,12.476
2019,10,9.8
2019,11,7.996
2019,12,6.084
2020,1,4.305
2020,2,3.772
2020,3,3.253
2020,4,4.637
2020,5,7.005
2020,6,9.927
2020,7,11.807
2020,8,12.747
2020,9,11.391
2020,10,9.666
2020,11,7.042
2020,12,5.377
2021,1,5.083
2021,2,5.183
2021,3,4.321
2021,4,4.297
2021,5,6.322
2021,6,8.636
2021,7,10.974
2021,8,11.537
2021,9,10.552
2021,10,8.195
2021,11,5.809
2021,12,3.698
2022,1,3.161
2022,2,3.365
2022,3,4.095
2022,4,4.454
2022,5,6.562
2022,6,9.311
2022,7,11.226
2022,8,11.32
2022,9,10.741
2022,10,8.7
2022,11,6.185
2022,12,4.979
2023,1,4.482
2023,2,4.183
2023,3,3.592
2023,4,3.874
2023,5,5.343
2023,6,7.903
2023,7,10.081
2023,8,11.459
2023,9,10.335
2023,10,8.732
2023,11,7.025
2023,12,5.033
2024,1,4.502
2024,2,4.024
2024,3,3.465
2024,4,3.881
2024,5,5.994
2024,6,8.156
2024,7,10.594
2024,8,10.857
2024,9,10.678
2024,10,9.066
2024,11,6.668
2024,12,5.288
2025,1,4.054
2025,2,3.693
2025,3,3.563
2025,4,3.954
2025,5,5.893
2025,6,8.34
2025,7,10.563
2025,8,11.311
2025,9,10.589
2025,10,8.736
2025,11,6.445
2025,12,4.803
2026,1,4.054
2026,2,3.693
2026,3,3.563
2026,4,3.954
2026,5,5.893
2026,6,8.34
2026,7,10.563
2026,8,11.311
2026,9,10.589
2026,10,8.736
2026,11,6.445
2026,12,4.803
2027,1,4.054
2027,2,3.693
2027,3,3.563
2027,4,3.954
2027,5,5.893
2027,6,8.34
2027,7,10.563
2027,8,11.311
2027,9,10.589
2027,10,8.736
2027,11,6.445
2027,12,4.803
2028,1,4.054
2028,2,3.693
2028,3,3.563
2028,4,3.954
2028,5,5.893
2028,6,8.34
2028,7,10.563
2028,8,11.311
2028,9,10.589
2028,10,8.736
2028,11,6.445
2028,12,4.803
2029,1,4.054
2029,2,3.693
2029,3,3.563
2029,4,3.954
2029,5,5.893
2029,6,8.34
2029,7,10.563
2029,8,11.311
2029,9,10.589
2029,10,8.736
2029,11,6.445
2029,12,4.803
2030,1,4.198
2030,2,3.748
2030,3,3.717
2030,4,4.158
2030,5,6.728
2030,6,8.73
2030,7,11.613
2030,8,12.413
2030,9,11.278
2030,10,9.497
2030,11,7.426
2030,12,5.595
2031,1,5.623
2031,2,5.681
2031,3,5.471
2031,4,5.478
2031,5,6.934
2031,6,9.982
2031,7,11.385
2031,8,12.366
2031,9,11.63
2031,10,9.516
2031,11,7.326
2031,12,5.578
2032,1,4.054
2032,2,3.693
2032,3,3.563
2032,4,3.954
2032,5,5.893
2032,6,8.34
2032,7,10.563
2032,8,11.311
2032,9,10.589
2032,10,8.736
2032,11,6.445
2032,12,4.803
2033,1,4.054
2033,2,3.693
2033,3,3.563
2033,4,3.954
2033,5,5.893
2033,6,8.34
2033,7,10.563
2033,8,11.311
2033,9,10.589
2033,10,8.736
2033,11,6.445
2033,12,4.803
2034,1,4.054
2034,2,3.693
2034,3,3.563
2034,4,3.954
2034,5,5.893
2034,6,8.34
2034,7,10.563
2034,8,11.311
2034,9,10.589
2034,10,8.736
2034,11,6.445
2034,12,4.803
2035,1,4.054
2035,2,3.693
2035,3,3.563
2035,4,3.954
2035,5,5.893
2035,6,8.34
2035,7,10.563
2035,8,11.311
2035,9,10.589
2035,10,8.736
2035,11,6.445
2035,12,4.803
2036,1,4.054
2036,2,3.693
2036,3,3.563
2036,4,3.954
2036,5,5.893
2036,6,8.34
2036,7,10.563
2036,8,11.311
2036,9,10.589
2036,10,8.736
2036,11,6.445
2036,12,4.803
2037,1,4.054
2037,2,3.693
2037,3,3.563
2037,4,3.954
2037,5,5.893
2037,6,8.34
2037,7,10.563
2037,8,11.311
2037,9,10.589
2037,10,8.736
2037,11,6.445
2037,12,4.803
2038,1,4.054
2038,2,3.693
2038,3,3.563
2038,4,3.954
2038,5,5.893
2038,6,8.34
2038,7,10.563
2038,8,11.311
2038,9,10.589
2038,10,8.736
2038,11,6.445
2038,12,4.803
2039,1,4.054
2039,2,3.693
2039,3,3.563
2039,4,3.954
2039,5,5.893
2039,6,8.34
2039,7,10.563
2039,8,11.311
2039,9,10.589
2039,10,8.736
2039,11,6.445
2039,12,4.803
2040,1,4.054
2040,2,3.693
2040,3,3.563
2040,4,3.954
2040,5,5.893
2040,6,8.34
2040,7,10.563
2040,8,11.311
2040,9,10.589
2040,10,8.736
2040,11,6.445
2040,12,4.803
2041,1,4.054
2041,2,3.693
2041,3,3.563
2041,4,3.954
2041,5,5.893
2041,6,8.34
2041,7,10.563
2041,8,11.311
2041,9,10.589
2041,10,8.736
2041,11,6.445
2041,12,4.803
2042,1,4.054
2042,2,3.693
2042,3,3.563
2042,4,3.954
2042,5,5.893
2042,6,8.34
2042,7,10.563
2042,8,11.311
2042,9,10.589
2042,10,8.736
2042,11,6.445
2042,12,4.803
2043,1,4.054
2043,2,3.693
2043,3,3.563
2043,4,3.954
2043,5,5.893
2043,6,8.34
2043,7,10.563
2043,8,11.311
2043,9,10.589
2043,10,8.736
2043,11,6.445
2043,12,4.803
2044,1,4.054
2044,2,3.693
2044,3,3.563
2044,4,3.954
2044,5,5.893
2044,6,8.34
2044,7,10.563
2044,8,11.311
2044,9,10.589
2044,10,8.736
2044,11,6.445
2044,12,4.803
2045,1,4.054
2045,2,3.693
2045,3,3.563
2045,4,3.954
2045,5,5.893
2045,6,8.34
2045,7,10.563
2045,8,11.311
2045,9,10.589
2045,10,8.736
2045,11,6.445
2045,12,4.803
2046,1,4.054
2046,2,3.693
2046,3,3.563
2046,4,3.954
2046,5,5.893
2046,6,8.34
2046,7,10.563
2046,8,11.311
2046,9,10.589
2046,10,8.736
2046,11,6.445
2046,12,4.803
2047,1,4.054
2047,2,3.693
2047,3,3.563
2047,4,3.954
2047,5,5.893
2047,6,8.34
2047,7,10.563
2047,8,11.311
2047,9,10.589
2047,10,8.736
2047,11,6.445
2047,12,4.803
2048,1,4.054
2048,2,3.693
2048,3,3.563
2048,4,3.954
2048,5,5.893
2048,6,8.34
2048,7,10.563
2048,8,11.311
2048,9,10.589
2048,10,8.736
2048,11,6.445
2048,12,4.803
2049,1,4.054
2049,2,3.693
2049,3,3.563
2049,4,3.954
2049,5,5.893
2049,6,8.34
2049,7,10.563
2049,8,11.311
2049,9,10.589
2049,10,8.736
2049,11,6.445
2049,12,4.803
2050,1,4.054
2050,2,3.693
2050,3,3.563
2050,4,3.954
2050,5,5.893
2050,6,8.34
2050,7,10.563
2050,8,11.311
2050,9,10.589
2050,10,8.736
2050,11,6.445
2050,12,4.803
