year,month,sst
2012,1,7.203
2012,2,6.846
2012,3,7.01
2012,4,8.301
2012,5,9.121
2012,6,11.251
2012,7,12.859
2012,8,14.11
2012,9,12.663
2012,10,9.781
2012,11,8.27
2012,12,8.977
2013,1,8.07
2013,2,7.941
2013,3,7.547
2013,4,8.607
2013,5,10.647
2013,6,12.707
2013,7,14.439
2013,8,14.014
2013,9,13.771
2013,10,11.39
2013,11,9.482
2013,12,7.64
2014,1,7.509
2014,2,6.662
2014,3,7.342
2014,4,8.499
2014,5,11.266
2014,6,11.995
2014,7,14.01
2014,8,15.223
2014,9,13.614
2014,10,12.946
2014,11,11.082
2014,12,10.006
2015,1,9.218
2015,2,9.103
2015,3,9.081
2015,4,9.778
2015,5,11.286
2015,6,13.245
2015,7,14.771
2015,8,15.381
2015,9,13.06
2015,10,12.114
2015,11,10.828
2015,12,9.668
2016,1,8.509
2016,2,9.001
2016,3,8.993
2016,4,10.169
2016,5,11.79
2016,6,13.133
2016,7,14.569
2016,8,14.158
2016,9,12.621
2016,10,11.095
2016,11,11.169
2016,12,9.406
2017,1,8.331
2017,2,7.649
2017,3,7.595
2017,4,8.862
2017,5,10.717
2017,6,12.422
2017,7,14.208
2017,8,14.321
2017,9,13.796
2017,10,10.904
2017,11,9.125
2017,12,8.095
2018,1,8.201
2018,2,7.708
2018,3,7.788
2018,4,8.957
2018,5,11.424
2018,6,12.764
2018,7,14.638
2018,8,15.132
2018,9,12.63
2018,10,10.441
2018,11,10.066
2018,12,9.262
2019,1,8.528
2019,2,7.555
2019,3,8.183
2019,4,9.443
2019,5,10.918
2019,6,12.62
2019,7,15.216
2019,8,14.855
2019,9,13.392
2019,10,10.935
2019,11,9.92
2019,12,8.779
2020,1,7.84
2020,2,7.461
2020,3,7.452
2020,4,8.536
2020,5,10.992
2020,6,12.633
2020,7,14.063
2020,8,14.948
2020,9,14.634
2020,10,11.896
2020,11,9.218
2020,12,8.456
2021,1,8.081
2021,2,7.056
2021,3,7.375
2021,4,8.349
2021,5,9.74
2021,6,12.385
2021,7,14.332
2021,8,14.741
2021,9,12.55
2021,10,10.981
2021,11,9.127
2021,12,7.998
2022,1,7.32
2022,2,7.167
2022,3,7.464
2022,4,7.991
2022,5,9.489
2022,6,11.822
2022,7,14.246
2022,8,15.122
2022,9,13.538
2022,10,11.252
2022,11,8.191
2022,12,6.99
2023,1,7.315
2023,2,7.566
2023,3,6.712
2023,4,7.692
2023,5,10.951
2023,6,11.893
2023,7,14.013
2023,8,14.8
2023,9,12.416
2023,10,11.135
2023,11,9.871
2023,12,9.086
2024,1,8.304
2024,2,8.044
2024,3,8.215
2024,4,9.091
2024,5,10.53
2024,6,11.788
2024,7,14.086
2024,8,14.64
2024,9,12.646
2024,10,10.314
2024,11,9.04
2024,12,8.415
2025,1,7.668
2025,2,7.405
2025,3,7.37
2025,4,8.161
2025,5,9.888
2025,6,12.013
2025,7,13.529
2025,8,14.056
2025,9,12.694
2025,10,10.491
2025,11,9.124
2025,12,8.166
2026,1,7.668
2026,2,7.405
2026,3,7.37
2026,4,8.161
2026,5,9.888
2026,6,12.013
2026,7,13.529
2026,8,14.056
2026,9,12.694
2026,10,10.491
2026,11,9.124
2026,12,8.166
2027,1,7.668
2027,2,7.405
2027,3,7.37
2027,4,8.161
2027,5,9.888
2027,6,12.013
2027,7,13.529
2027,8,14.056
2027,9,12.694
2027,10,10.491
2027,11,9.124
2027,12,8.166
2028,1,7.668
2028,2,7.405
2028,3,7.37
2028,4,8.161
2028,5,9.888
2028,6,12.013
2028,7,13.529
2028,8,14.056
2028,9,12.694
