year,month,sst
2012,1,9.89
2012,2,9.988
2012,3,9.063
2012,4,10.777
2012,5,10.093
2012,6,10.483
2012,7,11.44
2012,8,11.949
2012,9,12.503
2012,10,12.16
2012,11,12.413
2012,12,11.667
2013,1,9.866
2013,2,9.081
2013,3,8.921
2013,4,8.901
2013,5,9.932
2013,6,10.69
2013,7,11.015
2013,8,12.262
2013,9,14.091
2013,10,10.335
2013,11,9.848
2013,12,9.25
2014,1,9.866
2014,2,10.082
2014,3,10.53
2014,4,10.528
2014,5,11.819
2014,6,9.063
2014,7,12.655
2014,8,12.892
2014,9,13.421
2014,10,14.453
2014,11,14.047
2014,12,14.302
2015,1,12.877
2015,2,12.419
2015,3,11.67
2015,4,11.148
2015,5,9.932
2015,6,11.601
2015,7,14.244
2015,8,15.015
2015,9,13.577
2015,10,14.139
2015,11,12.982
2015,12,12.324
2016,1,11.638
2016,2,11.947
2016,3,12.37
2016,4,12.681
2016,5,11.004
2016,6,11.47
2016,7,11.854
2016,8,12.559
2016,9,12.854
2016,10,13.723
2016,11,14.743
2016,12,11.95
2017,1,10.515
2017,2,11.367
2017,3,11.526
2017,4,11.39
2017,5,10.601
2017,6,12.133
2017,7,12.316
2017,8,14.275
2017,9,13.375
2017,10,11.368
2017,11,11.945
2017,12,11.299
2018,1,11.502
2018,2,10.349
2018,3,10.466
2018,4,11.222
2018,5,10.419
2018,6,10.885
2018,7,12.391
2018,8,13.236
2018,9,11.948
2018,10,11.956
2018,11,11.321
2018,12,12.038
2019,1,11.26
2019,2,11.001
2019,3,10.856
2019,4,11.352
2019,5,10.822
2019,6,10.86
2019,7,13.003
2019,8,13.014
2019,9,14.654
2019,10,11.516
2019,11,11.472
2019,12,11.587
2020,1,11.08
2020,2,9.905
2020,3,9.643
2020,4,11.284
2020,5,12.614
2020,6,11.247
2020,7,11.383
2020,8,13.32
2020,9,14.534
2020,10,12.909
2020,11,10.938
2020,12,10.728
2021,1,10.696
2021,2,10.043
2021,3,9.732
2021,4,9.064
2021,5,9.344
2021,6,11.75
2021,7,11.353
2021,8,10.656
2021,9,11.087
2021,10,11.74
2021,11,13.029
2021,12,10.979
2022,1,10.351
2022,2,9.915
2022,3,9.902
2022,4,9.701
2022,5,10.307
2022,6,11.561
2022,7,13.456
2022,8,14.408
2022,9,13.587
2022,10,13.106
2022,11,10.334
2022,12,10.185
2023,1,10.72
2023,2,9.624
2023,3,9.163
2023,4,10.293
2023,5,11.37
2023,6,11.099
2023,7,12.446
2023,8,13.688
2023,9,13.274
2023,10,12.559
2023,11,12.923
2023,12,12.088
2024,1,11.899
2024,2,11.909
2024,3,11.808
2024,4,10.84
2024,5,10.287
2024,6,10.493
2024,7,12.364
2024,8,13.728
2024,9,12.967
2024,10,11.965
